	System_index	System_name	Genes	Selection_pressure	p	q	Model_input	Rank_of_model_input	Mutation_count
47	18389	GO:0005654	3494 genes including: TP53,GATA3,KMT2C,PTEN,RUNX1,NCOR1,FOXA1,AKT1,BRCA2,ARID1A,HUWE1,CTCF,AFF2,BRCA1,CASP8,ARID4B,SF3B1,KMT2E,ANKRD12,MED12,TAF1,SRCAP,KDM5B,KDM6A,CHD4	0.048639	0.0159	0.4005	4.24|3.238|2.597|2.456|2.112|1.987|1.82|1.712|1.688|1.668|1.422|1.393|1.39|1.35|1.337|1.298|1.269|1.262|1.252|1.246|1.225|1.223|1.181|1.173|1.171	1|3|6|7|9|10|12|13|14|15|24|25|26|28|29|30|32|35|38|39|40|41|46|47|48	346|127|97|58|40|50|31|27|29|39|38|21|27|27|18|18|21|19|20|29|24|27|19|21|26
48	18939	GO:0032300	MSH5,PMS1,MLH1,MSH2,PMS2,WRN,MLH3,MSH3,MSH4,MSH6	0.001395	0.0164	0.4008	1.022|0.782|0.379|0.36|0.133|0.0|0.0|0.0|0.0|0.0	82|240|1469|1593|3647|18217|18217|18217|18217|18217	11|11|8|7|8|8|12|7|5|8
49	19177	GO:0042734	84 genes including: GRIN2A,RIMS1,GRIK1,KCNA1,FMR1,CASK,ZDHHC17,SYP,STX1A,RIMS2,NLGN2,SNAP25,CDH9,GRIK2,KCNA2,STX3,ADORA1,GPER1,STX4,KCNH1,DENND1A,KCNC2,STX2,STXBP1,PRRT2	0.002745	0.0167	0.4008	1.048|0.871|0.836|0.728|0.694|0.633|0.616|0.585|0.574|0.563|0.529|0.511|0.449|0.382|0.377|0.26|0.256|0.255|0.255|0.244|0.23|0.23|0.215|0.212|0.182	77|152|179|299|346|449|489|568|600|625|742|820|1081|1450|1486|2348|2374|2381|2381|2491|2616|2616|2758|2787|3104	22|14|16|10|12|12|9|7|6|16|7|6|13|15|5|4|4|4|4|11|9|8|4|5|4
50	19237	GO:0044218	MUC7,PLG,C9,LTF,PI4K2A	0.000812	0.0171	0.4008	0.553|0.519|0.418|0.0|0.0	657|784|1233|18217|18217	7|13|8|4|2
51	18662	GO:0016605	98 genes including: TP53,PTEN,ZMYM2,RB1,SP3,CHEK2,TOPBP1,ATRX,HSF1,BLM,N4BP1,RGS14,PIAS4,EIF4ENIF1,NFE2,SQSTM1,PPARGC1A,NSMCE2,TP53INP1,SP100,ELF4,RPA2,ZBTB16,ATR,CBX5	0.015721	0.0173	0.4008	4.24|2.456|1.047|0.886|0.806|0.741|0.496|0.496|0.491|0.462|0.46|0.402|0.384|0.337|0.336|0.327|0.317|0.243|0.225|0.21|0.194|0.182|0.169|0.15|0.144	1|7|78|144|215|281|883|883|906|1040|1045|1331|1438|1749|1757|1823|1899|2494|2661|2806|2974|3104|3239|3449|3521	346|58|15|25|11|9|13|24|5|16|6|5|6|7|5|5|9|3|3|11|6|3|7|14|2
52	19035	GO:0034399	133 genes including: TP53,TPR,KIF4A,MYB,CAD,MEN1,ATXN1,HNRNPA2B1,STAG2,CASK,NUP107,ATXN3,AHCTF1,RAD21,STAG1,BLM,MAP2,PRR14,SMC1A,HAT1,RUNX1T1,PIAS4,RNASEL,DNTT,NUP153	0.018265	0.0178	0.4008	4.24|1.096|0.995|0.965|0.902|0.833|0.813|0.8|0.65|0.633|0.617|0.55|0.485|0.485|0.469|0.462|0.459|0.443|0.441|0.44|0.396|0.384|0.345|0.301|0.299	1|62|92|110|137|184|206|219|422|449|486|668|941|941|1012|1040|1050|1104|1116|1121|1366|1438|1695|2016|2026	346|27|22|12|17|11|12|10|18|12|11|6|28|7|15|16|19|7|14|6|11|6|8|7|11
53	19114	GO:0036019	TLR7,TLR3,HRG,TLR8,CTSS,CTSL,CLEC16A,AP2S1,AP2M1,CTSK,CLTA,CLTC,AP2A1,AP2A2,AP2B1,LGMN,PCSK9,TLR9,CTSB,LDLR	0.001238	0.0179	0.4008	1.009|0.646|0.516|0.435|0.336|0.21|0.204|0.172|0.141|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	85|429|799|1141|1757|2806|2866|3203|3556|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217	17|10|8|10|5|4|8|2|4|3|0|11|6|4|5|4|2|4|2|4
54	19403	GO:0070522	SLX4,XRCC1,ERCC1,ERCC4	0.000644	0.0183	0.4023	0.776|0.371|0.271|0.0	245|1517|2260|18217	13|6|4|5
55	18975	GO:0032982	MYH9,MYH7,ACTG2,MYH7B,MYH14,MYH8,MYH10,MYBPC3,MYBPC2,MYH4,MYOM1,MYH1,TRIM32,MYH11,MYH13,MYH15,MYH2,MYH3,MYH6,MYBPC1,MYBPH,MYOM2	0.001300	0.0191	0.4124	1.609|0.755|0.609|0.567|0.489|0.442|0.386|0.379|0.34|0.039|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	18|261|505|619|918|1108|1427|1469|1729|4783|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217	30|22|7|18|18|20|15|11|9|18|12|18|5|15|16|14|10|8|18|6|4|15
56	18607	GO:0010494	56 genes including: RC3H1,RPTOR,FMR1,PABPC3,LARP4B,G3BP1,TIA1,HNRNPK,GRB7,STAU1,PUM2,ATXN2,TIAL1,NUFIP2,DDX6,ELAVL1,CAPRIN1,OGFOD1,KHSRP,LARP1,KPNB1,LIN28A,CIRBP,PUM1,RBM4	0.002029	0.0199	0.4221	0.805|0.789|0.694|0.62|0.598|0.579|0.547|0.542|0.444|0.411|0.381|0.323|0.292|0.247|0.242|0.193|0.189|0.185|0.111|0.043|0.029|0.017|0.013|0.005|0.0	216|230|346|480|538|584|676|696|1100|1281|1455|1853|2086|2459|2503|2985|3027|3077|3900|4730|4908|5080|5136|5250|18217	14|14|12|8|9|7|6|7|7|6|11|13|4|7|5|4|7|5|6|9|8|2|1|7|1
57	19685	GO:1902495	317 genes including: AKAP9,ABCA7,CACNA1E,GRID2,GRIN2A,SCN10A,CHRNB2,GRIK1,SCN11A,KCNA1,DLG1,CASQ2,KCNK2,ABCB8,SHISA9,PDE4B,STX1A,CFTR,KCND1,ATP1B4,SNAP25,KCNA5,GABRB2,CATSPER3,CACNA2D2	0.001530	0.0217	0.4345	1.37|1.188|1.135|1.073|1.048|0.925|0.865|0.836|0.799|0.728|0.704|0.65|0.635|0.613|0.605|0.58|0.574|0.571|0.564|0.529|0.511|0.509|0.509|0.507|0.499	27|45|56|67|77|123|158|179|220|299|326|422|444|498|516|582|600|602|622|742|820|832|832|843|870	30|14|37|14|22|23|10|16|18|10|16|9|9|9|8|11|6|18|9|6|6|9|7|7|10
58	19338	GO:0048179	ACVR2A,ACVR1B,ACVRL1,TGFBR1,TGFBR2,ACVR1,ACVR1C,ACVR2B	0.000888	0.0220	0.4345	0.849|0.774|0.211|0.157|0.0|0.0|0.0|0.0	171|247|2797|3372|18217|18217|18217|18217	11|9|4|5|5|1|3|2
59	19171	GO:0042641	67 genes including: MYH9,CDC42BPA,ACTN4,MYH7,ROR1,DAAM1,STX1A,XIRP1,VANGL2,MYH14,MST1R,DBN1,MYH10,LIMA1,PTK2,SEPT12,TPM3,DCTN4,PDLIM4,ABLIM3,FHL3,MYL12B,FLNB,FBLIM1,PDCD6IP	0.001143	0.0223	0.4345	1.609|0.948|0.847|0.755|0.656|0.635|0.574|0.561|0.556|0.489|0.482|0.447|0.386|0.333|0.312|0.282|0.255|0.225|0.198|0.132|0.116|0.077|0.075|0.0|0.0	18|117|173|261|406|444|600|634|648|918|952|1090|1427|1777|1933|2161|2381|2661|2935|3665|3840|4279|4305|18217|18217	30|19|12|22|12|10|6|13|8|18|6|7|15|10|10|4|5|5|4|6|3|2|21|2|2
60	19618	GO:0098642	COL4A5,COL4A3,COL8A1,COL4A6,COL4A4,COL4A2,COL4A1	0.000175	0.0228	0.4345	0.787|0.409|0.321|0.254|0.143|0.0|0.0	234|1294|1868|2397|3536|18217|18217	18|16|8|16|15|13|13
61	19213	GO:0043235	396 genes including: ERBB2,MYH9,ERBB3,GRID2,GRIN2A,LRP2,TLR7,TLR4,FCRL5,CHRNB2,NOTCH2,ACVR2A,GRIK1,ACVR1B,FGFR2,PLXNA2,DLG1,EPHA5,ROR1,LYN,NTRK1,SHISA9,GPR84,IKBKB,HSPD1	0.041751	0.0231	0.4345	1.61|1.609|1.214|1.073|1.048|1.033|1.009|0.966|0.917|0.865|0.856|0.849|0.836|0.774|0.755|0.737|0.704|0.692|0.656|0.631|0.624|0.605|0.603|0.6|0.595	17|18|42|67|77|79|85|109|127|158|162|171|179|247|261|289|326|351|406|454|466|516|522|532|549	30|30|20|14|22|39|17|17|15|10|26|11|16|9|15|19|16|13|12|8|8|8|7|7|9
62	19644	GO:0098858	197 genes including: FOXA1,ATP7A,DMD,USH2A,MYO6,PCDH15,MYO7B,MYO10,MTM1,EPS8,FMR1,PPP1R9A,EXOC4,GRXCR1,CRB1,ACTG2,NFASC,MUC20,ENPP7,APP,ACPP,INPPL1,DPEP1,HOMER2,UTRN	0.021966	0.0238	0.4345	1.82|1.192|1.105|1.101|0.932|0.888|0.868|0.833|0.782|0.706|0.694|0.661|0.658|0.639|0.631|0.609|0.562|0.546|0.54|0.538|0.536|0.535|0.533|0.515|0.504	12|44|58|59|122|142|155|184|240|323|346|400|403|437|454|505|631|678|703|711|721|726|730|804|851	31|18|50|61|14|26|21|25|12|11|12|15|8|7|15|7|16|6|8|12|9|11|6|6|29
63	19453	GO:0071438	DPP4,NOX1,FAP,PLAUR,ITGA3,ITGB1	0.000456	0.0238	0.4345	0.701|0.43|0.337|0.027|0.0|0.0	329|1165|1749|4936|18217|18217	9|6|10|3|6|5
64	18839	GO:0031252	385 genes including: PIK3CA,CDH1,MYH9,ATP7A,ABCA7,USH2A,CDC42BPA,DIAPH1,MYO6,NEDD9,MYO10,RHOA,DST,TLN1,RASGRP2,MTM1,BMX,ATP2B1,PIP5K1A,EPS8,DPP4,SLC39A6,EEF1A1,PPP1R9A,PACSIN2	0.036550	0.0239	0.4345	4.156|3.233|1.609|1.192|1.188|1.101|0.948|0.938|0.932|0.872|0.833|0.825|0.819|0.816|0.791|0.782|0.773|0.75|0.715|0.706|0.701|0.699|0.675|0.661|0.62	2|4|18|44|45|59|117|120|122|151|184|190|200|204|229|240|248|270|310|323|329|332|377|400|480	346|127|30|18|14|61|19|11|14|15|25|8|32|24|10|12|9|17|9|11|9|10|10|15|7
65	18532	GO:0005891	41 genes including: CACNA1E,PDE4B,CATSPER3,CACNA2D2,HSPA2,CACNG3,PDE4D,CATSPER4,CACNA1F,CACNB2,CACNA2D1,CACNG7,NOS1,CACNG1,CACNG2,CATSPERD,NOS1AP,CATSPER2,CACNG6,FKBP1A,CACNA1A,CACNA1B,STAC3,CACNA1D,CACNA1G	0.001111	0.0242	0.4345	1.135|0.58|0.507|0.499|0.451|0.412|0.384|0.38|0.338|0.323|0.31|0.277|0.248|0.167|0.149|0.122|0.121|0.009|0.007|0.0|0.0|0.0|0.0|0.0|0.0	56|582|843|870|1070|1274|1438|1461|1741|1853|1945|2210|2450|3263|3464|3773|3783|5192|5224|18217|18217|18217|18217|18217|18217	37|11|7|10|6|5|11|6|20|7|8|4|15|3|3|6|5|4|2|0|26|23|2|18|11
66	19553	GO:0097386	FMR1,KCNK2,NFASC,APP,PINK1,GLUL,AKR1B1,MAPT,EZR,GFAP,EIF2S1,SYT4,ADGRG1,FYN,MT3,SLC17A8,SIRT2	0.000597	0.0247	0.4345	0.694|0.635|0.562|0.538|0.468|0.32|0.259|0.132|0.08|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	346|444|631|711|1018|1878|2356|3665|4241|18217|18217|18217|18217|18217|18217|18217|18217	12|9|16|12|6|5|4|7|4|3|2|2|0|2|0|4|3
67	18879	GO:0031467	CUL7,FBXW8,SKP1,RNF7,RBX1	0.000445	0.0247	0.4345	0.518|0.43|0.323|0.0|0.0	789|1165|1853|18217|18217	15|7|3|1|0
68	18314	GO:0001518	SCN10A,SCN11A,SCN2B,SCN2A,SCN3B,SCN7A,SCN3A,SCN1A,SCN1B,SCN4A,SCN4B,SCN5A,SCN8A,SCN9A	0.000822	0.0248	0.4345	0.925|0.799|0.414|0.23|0.223|0.125|0.009|0.0|0.0|0.0|0.0|0.0|0.0|0.0	123|220|1252|2616|2680|3739|5192|18217|18217|18217|18217|18217|18217|18217	23|18|4|22|3|20|18|18|0|14|1|17|15|16
69	19665	GO:0099568	466 genes including: CDH1,MAP2K4,MYH9,HMCN1,RP1,MAP1A,AKAP12,KIF17,KIF4A,SHROOM2,MYO6,SYBU,PCLO,NEDD9,RIMS1,ACTN4,MYO10,RHOA,NCL,DST,KIF5B,FGFR2,DNAJB13,EPS8,FMR1	0.037180	0.0254	0.4387	3.233|2.138|1.609|1.53|1.141|1.064|1.015|1.004|0.995|0.956|0.932|0.882|0.88|0.872|0.871|0.847|0.833|0.825|0.82|0.819|0.774|0.755|0.714|0.706|0.694	4|8|18|20|54|71|84|88|92|113|122|146|147|151|152|173|184|190|196|200|247|261|312|323|346	127|42|30|61|27|27|17|14|22|17|14|14|38|15|14|12|25|8|11|32|12|15|8|11|12
70	18556	GO:0005942	28 genes including: PIK3CA,PIK3R1,SOCS6,PIK3CB,PIK3R4,PIK3R3,PIK3CD,PIK3C2B,PIK3R2,ATG14,PIK3C2A,PIK3C2G,PIK3C3,PIK3CG,PIK3R5,PIK3R6,BECN1,BECN2,SLA2,CISH,SOCS1,SOCS2,SOCS3,SOCS5,SOCS7	0.001314	0.0266	0.4455	4.156|1.655|0.509|0.464|0.428|0.398|0.392|0.197|0.042|0.009|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	2|16|832|1033|1177|1352|1388|2944|4741|5192|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217	346|29|6|10|10|6|7|12|4|3|10|10|5|4|2|3|2|0|2|1|0|0|0|1|3
71	18958	GO:0032587	91 genes including: ABCA7,DIAPH1,MYO6,RHOA,TLN1,RASGRP2,BMX,PIP5K1A,EPS8,EEF1A1,PACSIN2,ARHGEF2,ARHGEF4,FGD2,C2CD5,FERMT1,ITGB3,FAP,WWC1,PSD2,SPRY2,PLEKHA1,EPB41L5,HSP90AA1,TIRAP	0.001065	0.0268	0.4455	1.188|0.938|0.932|0.825|0.816|0.791|0.773|0.715|0.706|0.675|0.62|0.536|0.522|0.509|0.503|0.473|0.429|0.337|0.275|0.263|0.254|0.211|0.183|0.166|0.154	45|120|122|190|204|229|248|310|323|377|480|721|768|832|853|991|1170|1749|2227|2328|2397|2797|3098|3276|3402	14|11|14|8|24|10|9|9|11|10|7|10|8|10|9|8|7|10|12|8|4|5|7|6|2
72	18786	GO:0030893	SMC1B,REC8,RAD21,SMC1A,STAG3,SMC3,RAD21L1	0.000237	0.0269	0.4455	0.519|0.503|0.485|0.441|0.152|0.0|0.0	784|853|941|1116|3429|18217|18217	10|8|7|14|9|7|4
73	18956	GO:0032584	EXOC4,GAP43,TRPV2,LAMP5,EXOC7,NECTIN1,ZFYVE27	0.000407	0.0296	0.4836	0.658|0.496|0.352|0.213|0.12|0.0|0.0	403|883|1637|2778|3796|18217|18217	8|6|8|4|7|0|2
74	18543	GO:0005913	109 genes including: CDH1,MYH9,HMCN1,SHROOM2,KIAA1210,CDH20,CDH12,CRB1,LYN,AJAP1,DSP,CDH9,PKP2,CDH10,ANXA1,CDC42EP1,SNAP23,CDH8,CTNNA2,PKP1,CDH24,ITGA6,VCL,ARVCF,CDHR3	0.001448	0.0305	0.4881	3.233|1.609|1.53|0.956|0.858|0.786|0.721|0.631|0.631|0.521|0.475|0.449|0.436|0.429|0.347|0.286|0.262|0.235|0.223|0.211|0.194|0.177|0.063|0.061|0.056	4|18|20|113|160|235|305|454|454|773|981|1081|1138|1170|1676|2128|2332|2564|2680|2797|2974|3152|4449|4475|4532	127|30|61|17|22|12|15|15|8|6|19|13|9|14|5|4|3|12|12|7|6|9|7|6|7
75	19343	GO:0048476	SLX4,RAD51C,MUS81,EME1,EME2	0.000593	0.0316	0.4881	0.776|0.483|0.148|0.036|0.0	245|950|3477|4824|18217	13|6|4|5|0
76	19729	GO:1990391	39 genes including: MSH5,PMS1,SLX4,XRCC4,XPC,MLH1,XRCC1,MSH2,ATM,ERCC1,RAD23B,SWSAP1,PMS2,ERCC3,XRCC6,XPA,CETN2,MSH4,LIG4,ERCC4,XRCC5,MSH3,WRN,PAXX,ZSWIM7	0.001434	0.0319	0.4881	1.022|0.782|0.776|0.638|0.588|0.379|0.371|0.36|0.273|0.271|0.233|0.145|0.133|0.11|0.1|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	82|240|245|438|564|1469|1517|1593|2240|2260|2588|3500|3647|3913|4016|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217	11|11|13|7|10|8|6|7|25|4|4|2|8|6|5|1|1|5|3|5|3|7|8|0|1
77	19673	GO:0101031	CDC37,CCT6B,CCT2,CCT3,STUB1,PTGES3,CCT7,HSPA8,CCT8,STIP1,BAG2,TSC1,CCT8L2,TCP1,CCT5,CCT4,PPP5C,CCT6A	0.000773	0.0320	0.4881	0.62|0.515|0.496|0.415|0.319|0.298|0.202|0.179|0.148|0.12|0.031|0.028|0.0|0.0|0.0|0.0|0.0|0.0	480|804|883|1249|1885|2036|2885|3135|3477|3796|4892|4923|18217|18217|18217|18217|18217|18217	7|8|7|6|4|3|5|8|5|4|2|9|5|2|2|3|4|3
78	19379	GO:0070032	STX1A,SNAP25,VAMP2,CPLX1	0.000223	0.0320	0.4881	0.574|0.511|0.0|0.0	600|820|18217|18217	6|6|1|0
79	18735	GO:0030141	826 genes including: BRCA2,HUWE1,ATP7A,F5,FLG2,DIAPH1,F8,KIAA1210,ACTN4,RHOA,SELP,CD109,RAB9B,SYT2,EEF1A1,ILF2,CFP,SCG3,SLC30A5,VPS13A,GPR84,ECE1,SPACA1,HSPD1,GLA	0.020341	0.0323	0.4881	1.688|1.422|1.192|1.148|0.957|0.938|0.884|0.858|0.847|0.825|0.809|0.741|0.739|0.676|0.675|0.671|0.659|0.645|0.617|0.607|0.603|0.599|0.597|0.595|0.592	14|24|44|52|112|120|145|160|173|190|212|281|285|375|377|381|402|431|486|509|522|537|543|549|555	29|38|18|27|28|11|26|22|12|8|13|11|7|9|10|8|8|8|11|20|7|12|7|9|8
80	18931	GO:0032154	53 genes including: MYH9,HMCN1,MEN1,RHOA,SEPT6,SVIL,MYH10,MASTL,LIMA1,RAB21,ZFYVE19,SEPT12,PSD2,RAB11A,RHOC,RAB11FIP4,KIF20A,RALA,PSTPIP1,STAMBP,PPP1CC,ECT2,OR2A4,PKN1,PKN2	0.000556	0.0334	0.4985	1.609|1.53|0.833|0.825|0.458|0.409|0.386|0.384|0.333|0.33|0.305|0.282|0.263|0.201|0.161|0.116|0.115|0.041|0.034|0.003|0.0|0.0|0.0|0.0|0.0	18|20|184|190|1052|1294|1427|1438|1777|1799|1982|2161|2328|2901|3334|3840|3854|4758|4851|5280|18217|18217|18217|18217|18217	30|61|11|8|6|17|15|7|10|4|5|4|8|3|3|4|5|2|4|3|2|6|3|3|7
81	19084	GO:0035253	KIF5B,APP,KIF5C,PSEN2,KLC3,RAB28,CROCC,NEK4,KIF5A	0.000498	0.0344	0.4994	0.774|0.538|0.498|0.376|0.007|0.0|0.0|0.0|0.0	247|711|872|1492|5224|18217|18217|18217|18217	12|12|12|6|4|1|10|2|7
82	18977	GO:0032991	5263 genes including: TP53,PIK3CA,CDH1,KMT2C,RUNX1,NCOR1,AKT1,BRCA2,ARID1A,PIK3R1,ERBB2,MYH9,TTN,AFF2,AKAP9,BRCA1,CASP8,PHKA2,SF3B1,PIWIL1,KMT2E,MED12,TAF1,SRCAP,ERBB3	0.035315	0.0346	0.4994	4.24|4.156|3.233|2.597|2.112|1.987|1.712|1.688|1.668|1.655|1.61|1.609|1.49|1.39|1.37|1.35|1.337|1.271|1.269|1.264|1.262|1.246|1.225|1.223|1.214	1|2|4|6|9|10|13|14|15|16|17|18|21|26|27|28|29|31|32|34|35|39|40|41|42	346|346|127|97|40|50|27|29|39|29|30|30|189|27|30|27|18|22|21|22|19|29|24|27|20
83	19428	GO:0070971	SEC16B,SEC31A,CTAGE6,MIA2,SEC31B,CTAGE1,PREB,MIA3,PDCD6,CTAGE9,PDCD6IP,YIPF5,TMED5,CTAGE8,SAR1A,SAR1B,MPPE1,APOB,SEC16A,SEC23A,CTAGE15,CTAGE4,TFG	0.001090	0.0347	0.4994	0.748|0.637|0.481|0.371|0.363|0.289|0.242|0.213|0.184|0.105|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	274|439|959|1517|1571|2104|2503|2778|3089|3962|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217	15|11|7|7|8|7|4|19|3|7|2|0|0|0|0|0|0|36|8|4|0|0|2
84	18714	GO:0030118	53 genes including: SCN10A,SGIP1,AP1G2,AP4M1,FCHO1,VPS41,AFTPH,AP3M1,EPS15,NECAP1,AP3M2,VPS33A,SCLT1,TBC1D5,AP3B1,AP2S1,AP2M1,AP1B1,GGA1,KIAA1107,IGF2R,EPN2,SLC18A3,VPS33B,KCNQ5	0.000400	0.0362	0.5031	0.925|0.779|0.643|0.558|0.541|0.523|0.517|0.491|0.338|0.297|0.277|0.259|0.219|0.199|0.192|0.172|0.141|0.109|0.055|0.001|0.0|0.0|0.0|0.0|0.0	123|243|435|645|698|761|793|906|1741|2043|2210|2356|2717|2923|3005|3203|3556|3925|4549|5308|18217|18217|18217|18217|18217	23|11|9|7|9|9|7|6|8|4|4|6|7|7|10|2|4|9|5|9|15|3|5|5|9
85	18469	GO:0005788	298 genes including: F5,F8,MEN1,COL4A5,ADAMTS13,COL24A1,COL12A1,CFP,LAMC1,CASQ2,COL1A2,SCG3,VCPIP1,TF,COL23A1,RCN1,TRDN,BCHE,CHGB,APP,ADAMTSL1,ARSE,COL14A1,VCAN,SERPINC1	0.034926	0.0364	0.5031	1.148|0.884|0.833|0.787|0.738|0.716|0.679|0.659|0.652|0.65|0.646|0.645|0.608|0.577|0.559|0.549|0.542|0.542|0.542|0.538|0.522|0.518|0.516|0.513|0.508	52|145|184|234|286|308|369|402|414|422|429|431|508|595|640|671|696|696|696|711|768|789|799|811|836	27|26|11|18|12|12|26|8|14|9|14|8|14|10|7|7|12|9|9|12|19|8|22|20|7
86	19061	GO:0034703	211 genes including: AKAP9,CACNA1E,GRIN2A,SCN10A,GRIK1,SCN11A,KCNA1,CASQ2,KCNK2,SHISA9,PDE4B,STX1A,KCND1,SNAP25,KCNA5,CATSPER3,CACNA2D2,KCNQ2,ATP2A1,HSPA2,KCNAB1,KCNV1,SCN2B,CACNG3,ABCC9	0.000856	0.0365	0.5031	1.37|1.135|1.048|0.925|0.836|0.799|0.728|0.65|0.635|0.605|0.58|0.574|0.564|0.511|0.509|0.507|0.499|0.494|0.491|0.451|0.422|0.418|0.414|0.412|0.408	27|56|77|123|179|220|299|422|444|516|582|600|622|820|832|843|870|892|906|1070|1208|1233|1252|1274|1304	30|37|22|23|16|18|10|9|9|8|11|6|9|6|9|7|10|11|12|6|6|7|4|5|18
87	18726	GO:0030131	33 genes including: SGIP1,AP1G2,AP4M1,FCHO1,AFTPH,AP3M1,EPS15,AP3M2,TBC1D5,AP3B1,AP2S1,AP2M1,AP1B1,GGA1,KIAA1107,SLC18A3,PICALM,AP1G1,AP1M1,AP1M2,AP1S1,HIP1R,AP2A1,AP2A2,AP2B1	0.000246	0.0372	0.5031	0.779|0.643|0.558|0.541|0.517|0.491|0.338|0.277|0.199|0.192|0.172|0.141|0.109|0.055|0.001|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	243|435|645|698|793|906|1741|2210|2923|3005|3203|3556|3925|4549|5308|18217|18217|18217|18217|18217|18217|18217|18217|18217|18217	11|9|7|9|7|6|8|4|7|10|2|4|9|5|9|5|4|6|3|4|0|5|6|4|5
88	18730	GO:0030135	279 genes including: ATP7A,F5,LRP2,MYO6,F8,SGIP1,SEC16B,SYT2,AP1G2,SEC31A,KIAA0319,ECE1,HSPD1,TF,CFTR,VANGL2,FCHO1,APP,VPS41,AFTPH,SERPINA1,PEF1,BCAP31,LMAN1L,SNX3	0.000622	0.0378	0.5031	1.192|1.148|1.033|0.932|0.884|0.779|0.748|0.676|0.643|0.637|0.606|0.599|0.595|0.577|0.571|0.556|0.541|0.538|0.523|0.517|0.502|0.484|0.474|0.456|0.445	44|52|79|122|145|243|274|375|435|439|513|537|549|595|602|648|698|711|761|793|859|947|986|1053|1095	18|27|39|14|26|11|15|9|9|11|11|12|9|10|18|8|9|12|9|7|8|5|5|7|4
89	19291	GO:0044459	2780 genes including: CDH1,PTEN,ERBB2,MYH9,HMCN1,MUC17,AKAP9,CASP8,ERBB3,RAPGEF6,ATP7A,ABCA7,MUC4,CACNA1E,DMD,USH2A,GRID2,HEG1,GRIN2A,LRP2,KIF17,PCDH19,TLR4,SHROOM2,DIAPH1	0.024629	0.0381	0.5031	3.233|2.456|1.61|1.609|1.53|1.457|1.37|1.337|1.214|1.21|1.192|1.188|1.15|1.135|1.105|1.101|1.073|1.059|1.048|1.033|1.004|0.969|0.966|0.956|0.938	4|7|17|18|20|22|27|29|42|43|44|45|51|56|58|59|67|72|77|79|88|108|109|113|120	127|58|30|30|61|45|30|18|20|23|18|14|46|37|50|61|14|18|22|39|14|18|17|17|11
90	18538	GO:0005902	83 genes including: FOXA1,ATP7A,MYO6,MYO7B,EXOC4,GRXCR1,CRB1,NFASC,MUC20,ENPP7,DPEP1,ITGB3,SLC27A4,SLC10A2,CA9,ATP6V1A,MYO7A,CTSV,AKR1B1,ANGPT1,S100P,HYAL2,MYO1A,SCARB1,TGFB1	0.000855	0.0382	0.5031	1.82|1.192|0.932|0.868|0.658|0.639|0.631|0.562|0.546|0.54|0.533|0.429|0.397|0.395|0.37|0.361|0.351|0.312|0.259|0.255|0.235|0.222|0.214|0.186|0.162	12|44|122|155|403|437|454|631|678|703|730|1170|1357|1371|1521|1583|1646|1933|2356|2381|2564|2687|2768|3064|3319	31|18|14|21|8|7|15|16|6|8|6|7|6|5|6|7|19|4|4|7|2|4|8|8|4
91	19077	GO:0035068	TARBP2,TNRC6A,AGO4,XPO5,AGO2,AGO3,AGO1,DHX9,DICER1	0.000316	0.0385	0.5031	0.495|0.285|0.279|0.233|0.191|0.156|0.0|0.0|0.0	886|2137|2193|2588|3011|3380|18217|18217|18217	7|15|8|10|9|8|9|11|11
92	18409	GO:0005681	181 genes including: SF3B1,CRNKL1,HTATSF1,LUC7L2,HNRNPA2B1,RBMXL3,DDX5,PRPF4B,TRA2B,WAC,EIF4A3,SUGP1,HNRNPH3,ZCCHC8,HNRNPK,GPATCH1,EFTUD2,PRPF3,RNPC3,RBM8A,CDC5L,PRPF4,SYNCRIP,API5,SNRPC	0.004849	0.0387	0.5031	1.269|1.008|0.849|0.803|0.8|0.751|0.715|0.699|0.688|0.677|0.646|0.568|0.562|0.554|0.542|0.532|0.501|0.471|0.45|0.441|0.413|0.393|0.389|0.331|0.33	32|86|171|217|219|266|310|332|360|374|429|614|631|654|696|734|863|1000|1076|1116|1260|1380|1412|1791|1799	21|15|15|9|10|14|9|12|7|10|8|8|6|7|7|9|9|7|4|4|9|6|7|7|3
