	brca_diff_log_ps5	luad_diff_log_ps5	ucec_diff_log_ps5	lgg_diff_log_ps5	hnsc_diff_log_ps5	prad_diff_log_ps5	thca_diff_log_ps5	lusc_diff_log_ps5	skcm_diff_log_ps5	stad_diff_log_ps5	ov_diff_log_ps5	blca_diff_log_ps5	gbm_diff_log_ps5	coad_diff_log_ps5	lihc_diff_log_ps5	kirc_diff_log_ps5	cesc_diff_log_ps5	kirp_diff_log_ps5	sarc_diff_log_ps5	laml_diff_log_ps5	esca_diff_log_ps5	pcpg_diff_log_ps5	paad_diff_log_ps5	tgct_diff_log_ps5	read_diff_log_ps5	thym_diff_log_ps5	acc_diff_log_ps5	meso_diff_log_ps5	uvm_diff_log_ps5	kich_diff_log_ps5	ucs_diff_log_ps5	dlbc_diff_log_ps5	chol_diff_log_ps5	pancancer_diff_log_ps5
CGB1	0.136	0.071	0.0	0.0	0.005	0.0	0.0	0.376	0.0	0.0	0.0	0.0	0.082	0.467	0.103	0.0	0.096	0.132	0.0	0.0	0.0	0.0	0.115	0.0	0.288	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CGB2	0.126	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.247	0.0	0.099	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CGB3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CGB5	0.0	0.124	0.0	0.0	0.0	0.11	0.0	0.211	0.0	0.0	0.0	0.182	0.0	0.0	0.0	0.0	0.0	0.0	0.121	0.0	0.0	0.0	0.111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CGB7	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.492	0.0	0.148	0.105	0.0	0.075	0.0	0.0	0.0	0.287	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.171	0.0	0.0	0.0
CGB8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.056	0.0	0.0	0.0	0.0	0.0	0.121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CGGBP1	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.094	0.096	0.0	0.0	0.0	0.145	0.001	0.0	0.0	0.0	0.0	0.162	0.0	0.0	0.252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.174	0.0
CGN	0.467	0.716	0.0	0.0	0.0	0.0	0.139	0.826	0.0	0.0	0.189	0.0	0.159	0.988	0.0	0.0	0.0	0.0	0.0	0.217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.114	0.0	0.1	0.0	0.0
CGNL1	0.0	0.0	0.0	0.0	0.0	0.0	0.081	0.0	0.0	0.0	0.295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.185	0.0	0.0	0.0	0.0	0.0	0.0	0.294	0.0	0.0	0.133	0.0	0.0	0.0	0.0	0.0
CGREF1	0.0	0.0	0.0	0.031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CGRRF1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.122	0.295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.188	0.0	0.0	0.0	0.248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CH25H	0.0	0.421	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.303	0.143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHAC1	0.0	0.0	0.0	0.081	0.0	0.063	0.0	0.0	0.0	0.0	0.055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.147	0.032	0.0	0.0	0.0	0.101	0.0	0.0	0.162	0.0	0.0	0.0	0.0	0.0	0.0
CHAC2	0.053	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.179	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.213	0.0	0.0	0.174	0.0	0.0	0.0	0.0	0.0	0.0
CHAD	0.0	0.0	0.0	0.0	0.168	0.0	0.0	0.0	0.0	0.407	0.134	0.0	0.229	0.264	0.016	0.214	0.391	0.333	0.073	0.0	0.0	0.0	0.0	0.0	0.031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHADL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.087	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.093	0.0
CHAF1A	0.0	0.836	0.0	0.0	0.0	0.418	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.094	0.0	0.411	0.0	0.0	0.317	0.228	0.109	0.0	0.0	0.0	0.0	0.0	0.229	0.0	0.0	0.0	0.0	0.0	0.147	0.0
CHAF1B	0.0	0.0	0.519	0.14	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.155	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHAMP1	0.013	0.186	0.0	0.0	0.0	0.095	0.0	0.0	0.0	0.0	0.153	0.0	0.0	0.0	0.0	0.0	0.0	0.137	0.016	0.0	0.051	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.296	0.0
CHAT	0.0	0.0	0.0	0.144	0.184	0.0	0.0	0.154	0.0	0.0	0.0	0.0	0.4	0.259	0.054	0.0	0.0	0.0	0.054	0.051	0.508	0.0	0.273	0.0	0.0	0.0	0.052	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHCHD1	0.028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHCHD10	0.051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.054	0.0	0.063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHCHD2	0.221	0.0	0.0	0.082	0.0	0.226	0.159	0.0	0.0	0.185	0.0	0.0	0.0	0.0	0.215	0.0	0.0	0.0	0.0	0.0	0.081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHCHD3	0.051	0.0	0.528	0.0	0.0	0.0	0.0	0.0	0.0	0.032	0.001	0.0	0.0	0.0	0.0	0.0	0.118	0.54	0.0	0.0	0.0	0.0	0.0	0.0	0.104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHCHD4	0.0	0.192	0.421	0.095	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.161	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHCHD5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.028	0.111	0.533	0.0	0.117	0.063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHCHD6	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHCHD7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHD1	0.0	0.0	0.0	0.0	0.0	0.455	0.0	0.0	0.0	0.0	0.0	0.782	0.0	0.404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045	0.0
CHD1L	0.679	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.144	0.039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHD2	0.0	0.0	0.0	0.0	0.0	0.0	0.027	0.0	0.0	0.0	0.175	1.132	0.0	0.0	0.0	0.0	0.0	0.155	0.067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.229	0.0	0.0	0.0	0.0	0.083	0.0	0.0
CHD3	0.0	0.0	1.503	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.612	0.0	0.0	0.0	0.306	0.0	0.0	0.0	0.0	0.223	0.0	0.0	0.0	0.095	0.0	0.058	0.0	0.0
CHD4	1.171	0.0	2.681	0.0	0.0	0.347	0.029	0.0	0.0	1.182	0.173	0.0	0.0	1.223	0.0	0.521	0.647	0.0	0.0	0.482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.139	1.004	0.103	0.0	2.682
CHD5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.754	0.0	0.0	0.225	0.0	0.608	0.0	0.689	0.0	0.0	0.0	0.341	0.0	0.055	0.0	0.0	0.0	0.0	0.0	0.182	0.0	0.0	0.0	0.361	0.0	0.0	0.0
CHD6	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.153	0.461	0.0	0.0	0.0	0.0	0.0	0.345	0.475	0.028	0.0	0.0	0.0	0.0	0.0	0.0	0.036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHD7	0.061	0.0	0.0	0.0	0.104	0.191	0.0	0.076	0.0	0.0	0.509	0.0	0.0	0.0	0.0	0.564	0.804	0.219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.169	0.0
CHD8	0.0	0.0	0.435	0.0	0.814	0.0	0.0	0.897	0.0	0.0	0.35	0.0	0.615	1.291	0.0	0.0	0.0	0.438	0.0	0.0	0.154	0.0	0.0	0.0	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHD9	0.0	0.443	0.0	0.136	1.072	0.0	0.0	0.0	0.48	0.0	0.0	0.0	0.112	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0
CHDH	0.0	0.0	0.0	0.0	0.0	0.132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHEK1	0.0	0.0	0.0	0.189	0.0	0.0	0.0	0.274	0.0	0.0	0.0	0.0	0.134	0.0	0.264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHEK2	0.741	0.676	1.314	0.062	0.0	0.0	0.534	0.429	0.0	0.183	0.296	0.493	0.0	0.486	0.255	0.012	0.006	0.147	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.125	0.258	0.0	0.0	0.125	0.269	0.137	0.148	1.862
CHERP	0.01	0.0	0.0	0.0	0.0	0.103	0.0	0.0	0.534	0.352	0.454	0.0	0.0	0.0	0.0	0.198	0.231	0.0	0.112	0.0	0.0	0.0	0.0	0.144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHFR	0.0	0.352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.137	0.0	0.0	0.0	0.074	0.0	0.091	0.0	0.0	0.0	0.0
CHGA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.184	0.111	0.0	0.054	0.14	0.0	0.0	0.037	0.0	0.146	0.145	0.128	0.136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHGB	0.542	1.128	0.0	0.325	0.066	0.0	0.0	0.0	0.195	0.753	0.209	0.0	0.529	0.07	0.2	0.0	0.173	0.0	0.0	0.0	0.0	0.0	0.029	0.0	0.328	0.0	0.097	0.0	0.0	0.0	0.099	0.0	0.0	0.0
CHI3L1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.415	0.0	0.0	0.0	0.0	0.0	0.0	0.073	0.043	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.153	0.0	0.0	0.139	0.0	0.0	0.0
CHI3L2	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHIA	0.319	0.113	0.0	0.148	0.045	0.016	0.0	0.0	0.0	0.0	0.0	0.275	0.0	0.498	0.0	0.0	0.242	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.142	0.0	0.0	0.152	0.0
CHIC1	0.0	0.043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.061	0.0	0.032	0.0	0.213	0.0	0.0	0.0	0.0	0.0	0.065	0.0	0.0	0.0	0.043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHIC2	0.296	0.0	0.0	0.0	0.049	0.119	0.0	0.0	0.0	0.0	0.0	0.0	0.181	0.013	0.067	0.0	0.0	0.0	0.0	0.143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHID1	0.0	0.031	0.0	0.0	0.0	0.137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.202	0.0	0.0	0.0	0.0	0.068	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHIT1	0.06	0.37	0.897	0.0	0.0	0.0	0.0	0.333	0.0	0.0	0.0	0.261	0.0	0.373	0.0	0.275	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.063	0.0	0.0	0.0	0.0	0.0	0.129	0.147	0.0	0.0
CHKA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.112	0.291	0.0	0.0	0.0	0.0	0.0	0.0	0.143	0.0	0.0
CHKB	0.172	0.0	0.0	0.039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057	0.113	0.0	0.0	0.0	0.023	0.0	0.0	0.0	0.0	0.0	0.121	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHL1	0.0	0.0	0.785	0.0	0.0	0.41	0.0	1.191	1.152	0.0	0.0	0.593	0.673	0.0	0.789	0.165	0.163	0.0	0.48	0.514	0.689	0.0	0.0	0.0	0.596	0.092	0.212	0.0	0.0	0.0	0.0	0.0	0.07	0.0
CHM	0.0	0.992	1.015	0.0	0.0	0.371	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.154	0.0	0.0	0.275	0.267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041	0.08	0.0	0.0
CHML	0.261	0.244	0.561	0.0	0.342	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.28	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.112	0.0	0.439	0.0	0.085	0.0	0.0	0.0	0.139	0.0	0.0	0.0	0.0	0.0
CHMP1A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHMP1B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.086	0.315	0.0	0.0	0.353	0.0	0.0	0.076	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHMP2A	0.0	0.0	0.332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.099	0.665	0.162	0.0	0.059	0.095	0.0	0.077	0.112	0.0	0.0	0.0	0.057	0.174	0.105	0.0	0.0	0.0	0.0	0.0	0.162	0.0	0.0	0.0
CHMP2B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.084	0.0	0.084	0.0	0.0	0.0	0.0	0.072	0.161	0.154	0.0	0.0	0.0	0.0	0.0	0.0	0.296	0.0	0.0
CHMP3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHMP4A	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.073	0.0	0.015	0.0	0.063	0.0	0.0	0.231	0.0	0.0	0.0	0.0	0.0	0.0	0.215	0.0	0.0	0.0	0.0	0.0	0.154	0.0	0.0	0.0
CHMP4B	0.0	0.115	0.0	0.047	0.0	0.094	0.0	0.0	0.0	0.0	0.234	0.0	0.0	0.0	0.0	0.082	0.0	0.051	0.261	0.0	0.0	0.168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHMP4C	0.0	0.096	0.0	0.076	0.0	0.0	0.0	0.0	0.0	0.0	0.226	0.014	0.25	0.0	0.0	0.0	0.0	0.0	0.066	0.0	0.09	0.0	0.074	0.0	0.0	0.0	0.303	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHMP5	0.0	0.0	0.0	0.0	0.043	0.056	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHMP6	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.066	0.341	0.23	0.0	0.373	0.0	0.0	0.0	0.045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHMP7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.347	0.0	0.0	0.0	0.003	0.0	0.232	0.0	0.0	0.0	0.137	0.0	0.0	0.0	0.0	0.0
CHN1	0.0	0.0	0.0	0.0	0.0	0.0	0.132	0.0	0.0	0.0	0.176	0.0	0.0	0.0	0.0	0.0	0.152	0.0	0.0	0.294	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.094	0.0	0.0	0.0
CHN2	0.0	0.0	0.0	0.0	0.306	0.0	0.0	0.0	0.0	0.0	0.135	0.122	0.432	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHODL	0.0	0.552	0.0	0.028	0.0	0.0	0.0	0.0	0.227	0.0	0.0	0.0	0.0	0.0	0.0	0.047	0.0	0.0	0.223	0.0	0.087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.298	0.0	0.0	0.0
CHORDC1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.122	0.103	0.0	0.0	0.0
CHP1	0.0	0.0	0.0	0.0	0.0	0.138	0.154	0.007	0.0	0.0	0.083	0.0	0.0	0.0	0.083	0.1	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHP2	0.208	0.0	0.074	0.225	0.0	0.027	0.0	0.0	0.0	0.0	0.058	0.0	0.447	0.0	0.0	0.0	0.0	0.0	0.089	0.0	0.269	0.0	0.101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHPF	0.0	0.221	0.0	0.0	0.0	0.0	0.0	0.0	0.119	0.0	0.0	0.0	0.0	0.0	0.801	0.0	0.0	0.022	0.0	0.0	0.089	0.0	0.0	0.0	0.0	0.0	0.054	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHPF2	0.0	0.0	0.695	0.22	0.356	0.0	0.009	0.0	0.0	0.793	0.412	0.0	0.072	0.0	0.355	0.0	0.0	0.0	0.062	0.0	0.081	0.0	0.153	0.0	0.0	0.0	0.0	0.0	0.0	0.114	0.075	0.0	0.0	0.0
CHPT1	0.136	0.0	0.546	0.0	0.089	0.0	0.0	0.0	0.0	0.0	0.0	0.251	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.116	0.0	0.0	0.0	0.0	0.117	0.0	0.273	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHRAC1	0.0	0.0	0.0	0.0	0.078	0.114	0.0	0.0	0.0	0.0	0.0	0.111	0.0	0.102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHRD	0.0	0.0	0.0	0.0	0.525	0.0	0.0	0.0	0.0	0.0	0.076	0.0	0.0	0.521	0.0	0.0	0.0	0.0	0.0	0.242	0.0	0.0	0.0	0.0	0.343	0.0	0.16	0.0	0.0	0.121	0.0	0.0	0.0	0.0
CHRDL1	0.397	1.12	0.0	0.439	0.0	0.0	0.082	0.406	0.0	0.547	0.057	0.0	0.035	0.325	0.0	0.033	0.0	0.0	0.044	0.0	0.0	0.0	0.0	0.11	0.465	0.0	0.0	0.156	0.0	0.0	0.0	0.0	0.0	0.0
CHRDL2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.178	0.181	0.0	0.0	0.0	0.012	0.346	0.0	0.14	0.0	0.0	0.0	0.14	0.0	0.115	0.142	0.0	0.143	0.103	0.0	0.0	0.0
CHRFAM7A	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.096	0.185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHRM1	0.167	0.0	0.842	0.293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.335	0.0	0.0	0.052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.136	0.0	0.0	0.167	0.0	0.0	0.0	0.0	0.0
CHRM2	0.054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.509	0.0	0.237	0.961	0.106	0.503	0.0	0.0	0.025	0.0	0.654	0.0	0.0	0.0	0.262	0.0	0.0	0.0	0.0	0.0	0.039	0.0	0.0	0.0
CHRM3	0.0	0.0	0.943	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.152	0.0	0.0	0.075	0.0	0.0	0.082	0.11	0.0	0.12	0.0	0.12	0.0	0.0	0.0	0.0	0.058	0.375	0.0	0.0
CHRM4	0.0	0.0	0.0	0.0	0.0	0.182	0.044	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.142	0.0	0.0	0.0	0.22	0.0	0.134	0.0	0.0	0.0	0.201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHRM5	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.339	0.0	0.0	0.086	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.025	0.124	0.0	0.0	0.009	0.0	0.0	0.0	0.101	0.136	0.0	0.0	0.114	0.0	0.0	0.0
CHRNA1	0.0	0.538	0.0	0.188	0.0	0.0	0.0	0.186	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.352	0.053	0.0	0.0	0.0	0.297	0.0	0.227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.258	0.0	0.0	0.0
CHRNA10	0.697	0.195	0.0	0.0	0.0	0.345	0.0	0.0	0.0	0.276	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.054	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHRNA2	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.039	0.0	0.0	0.0	0.226	0.164	0.0	0.188	0.0	0.0	0.0	0.0	0.151	0.0	0.0	0.11	0.13	0.0	0.0
CHRNA3	0.213	0.472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.468	0.404	0.0	0.211	0.0	0.0	0.04	0.0	0.0	0.067	0.0	0.017	0.0	0.0	0.0	0.261	0.0	0.092	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHRNA4	0.0	0.0	0.0	0.0	0.0	0.051	0.0	0.435	0.0	0.505	0.0	0.0	0.0	0.0	0.462	0.123	0.0	0.259	0.094	0.0	0.204	0.0	0.0	0.0	0.055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHRNA5	0.428	0.0	0.441	0.176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.364	0.083	0.07	0.0	0.184	0.0	0.0	0.0	0.121	0.0	0.102	0.0	0.0	0.0	0.0	0.0	0.163	0.0
CHRNA6	0.0	0.0	0.855	0.179	0.0	0.492	0.0	0.0	0.0	1.078	0.0	0.0	0.0	0.037	0.0	0.0	0.0	0.0	0.225	0.132	0.0	0.0	0.0	0.0	0.681	0.0	0.0	0.0	0.0	0.0	0.0	0.166	0.0	0.0
CHRNA7	0.0	0.178	0.0	0.0	0.0	0.011	0.02	0.0	0.0	0.0	0.201	0.0	0.0	0.0	0.408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.144	0.306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
