	System index	System clixo/louvain name	Genes	Selection pressure	p	q	Mutation model input	Rank of model input	Mutation count
72	20190	21786	RUSC2,GOLGA2,RAB1A,RAB1B	0.001511	0.0085	0.2525	0.779|0.54|0.07|0.0	273|674|3455|17469	12|16|2|1
73	21078	22674	BUD13,DDX52,RAD51C,XRCC2,RAD51B,RAD51D	0.000695	0.0085	0.2525	0.763|0.72|0.363|0.243|0.0|0.0	291|343|1329|2035|17469|17469	12|10|6|4|4|3
74	20838	22434	NKTR,CLK2,PNN,SNIP1,NOLC1	0.001541	0.0087	0.2525	1.16|0.695|0.0|0.0|0.0	67|366|17469|17469|17469	22|11|6|2|3
75	21246	22842	TRRAP,TADA2A,SUPT3H,KAT2A,TAF12,KAT2B,TAF9	0.000605	0.0087	0.2525	1.345|0.285|0.229|0.171|0.091|0.0|0.0	40|1759|2123|2581|3267|17469|17469	38|7|5|8|2|4|4
76	21893	23493	96 genes including: TP53,RB1,CDKN1A,EP300,CREBBP,CDKN2A,BRCA1,BRCA2,NDC80,BARD1,TACC3,CDKN1B,CCNE2,BLM,BUB1,CKS2,CDK7,PCNA,SKP2,FANCD2,HLA-A,ZWILCH,DTL,CCND3,MAD2L1,FZR1,KIF11,CDC45,CDK3,RBL2,E2F5,BUB3,CDK6,CDKN2B,CDK4,UBE2C,AURKA,AURKB,FEN1,MKI67,CDC20,TIMELESS,DLGAP5,MYBL2,MYC,CDC6,TTK,MCM3,ASF1B,KIF18A	0.077916	0.0089	0.2545	3.608|2.747|2.124|2.061|1.788|1.742|1.175|0.923|0.912|0.83|0.594|0.587|0.576|0.547|0.473|0.471|0.382|0.328|0.307|0.295|0.271|0.232|0.188|0.175|0.15|0.123|0.122|0.111|0.091|0.066|0.052|0.038|0.037|0.033|0.016|0.008|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	1|3|10|11|16|18|62|154|163|230|552|568|594|655|879|890|1223|1497|1624|1697|1855|2102|2425|2554|2730|2964|2968|3055|3267|3502|3616|3746|3764|3816|4005|4097|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469	200|77|39|63|51|27|21|40|15|11|9|6|8|16|15|4|6|5|6|17|5|7|6|5|3|5|8|8|5|10|3|3|5|2|4|3|3|4|3|36|4|11|10|6|3|9|9|2|2|9
77	20801	22397	CSNK2A1,NAP1L1,MAGED2,RPL6,NAP1L4	0.001656	0.0090	0.2545	0.889|0.668|0.226|0.038|0.0	181|407|2154|3746|17469	12|10|7|3|2
78	21477	23073	CLTC,PICALM,AP2B1,REPS1,HIP1,CLINT1,HIP1R,AP1B1,CLTCL1	0.001618	0.0092	0.2560	0.571|0.568|0.543|0.274|0.25|0.0|0.0|0.0|0.0	605|611|668|1827|1999|17469|17469|17469|17469	19|9|12|6|12|3|9|12|10
79	21437	23033	MED13,MED12,CDK8,MED15,MED6,MED18,MED20,MED1	0.001095	0.0093	0.2560	1.419|0.557|0.27|0.186|0.105|0.0|0.0|0.0	34|635|1865|2449|3117|17469|17469|17469	35|22|6|8|3|1|1|19
80	20687	22283	ACTB,PICALM,DAB2,AP2A1,MYO6	0.001241	0.0094	0.2560	1.209|0.568|0.374|0.043|0.0	57|611|1261|3697|17469	17|9|9|5|7
81	20646	22242	F5,ITIH2,GC,F2,C4BPA	0.000896	0.0101	0.2711	0.648|0.525|0.321|0.0|0.0	443|712|1539|17469|17469	22|11|6|3|7
82	21195	22791	ARHGAP30,FERMT3,ELMO1,LAIR1,SASH3,NCKAP1L	0.001595	0.0102	0.2711	0.728|0.611|0.306|0.104|0.0|0.0	329|523|1631|3123|17469|17469	13|14|10|4|2|9
83	21743	23342	CHD2,CSNK2A1,KDM2B,CTR9,AUTS2,RNF2,RYBP,YAF2,CSNK2B,C11orf57,PCGF5,CSNK2A2,CBX7,BCOR,HIRIP3,FBRS,NKAP	0.002544	0.0104	0.2731	1.132|0.889|0.576|0.43|0.377|0.284|0.088|0.063|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	72|181|594|1035|1248|1767|3285|3519|17469|17469|17469|17469|17469|17469|17469|17469|17469	28|12|14|10|18|5|2|2|0|3|1|1|2|13|8|1|6
84	21433	23029	COG5,COG8,COG2,COG1,COG3,COG4,COG6,COG7	0.001007	0.0107	0.2770	0.916|0.304|0.298|0.175|0.0|0.0|0.0|0.0	160|1644|1678|2554|17469|17469|17469|17469	14|9|8|9|6|10|4|8
85	20465	22061	CASP8,FADD,CFLAR,FAS	0.000536	0.0108	0.2770	0.953|0.539|0.0|0.0	135|677|17469|17469	15|7|3|1
86	20690	22286	TAF11,GTF2E1,TAF6,GTF2F1,TAF1	0.000674	0.0115	0.2916	0.833|0.499|0.348|0.0|0.0	226|800|1397|17469|17469	9|7|8|5|10
87	22456	cut0.3-448	CDK12,AFF4,HEXIM1,CDKN1B,EAF2,USPL1,CDK9,ELL3,CDK13,LARP7,AFF1,EAF1,MLLT6,MEPCE,MDFIC,HEXIM2,CCNT1,CCNT2,ELL,ELL2,ICE1,ICE2,DOT1L,AFF2,AFF3,MLLT1,MLLT10,MLLT3	0.005461	0.0117	0.2933	1.059|0.904|0.88|0.587|0.504|0.429|0.332|0.276|0.226|0.216|0.181|0.059|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	94|169|188|568|782|1040|1482|1812|2154|2223|2485|3553|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469	29|17|11|6|6|14|7|6|14|7|14|3|6|3|2|1|7|6|0|2|0|0|17|15|18|4|5|6
88	21729	23328	CREBBP,RNF111,ZFYVE9,BUB1,SMAD4,TGFBR1,SMAD1,SMAD5,HDAC1,ANAPC10,LEMD3,SMURF1,SMAD2,SMAD3,SMURF2,SKI	0.001993	0.0126	0.3045	1.788|1.009|0.611|0.473|0.447|0.367|0.25|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	16|109|523|879|963|1307|1999|17469|17469|17469|17469|17469|17469|17469|17469|17469	51|17|23|15|8|8|5|0|4|0|8|8|4|8|9|1
89	19999	21595	DBT,MCCC2,MCCC1,IVD	0.001222	0.0126	0.3045	0.661|0.605|0.0|0.0	419|538|17469|17469	6|9|10|0
90	21769	23368	HSP90AA1,KLHDC2,CUL1,COPS4,CUL2,CUL3,DCUN1D2,ASB8,RNF7,COPS3,SENP3,LRR1,NEDD8,CUL4A,ELOB,ELOC,VHL,UBXN1,RBX1,ZER1	0.002084	0.0127	0.3045	1.227|0.833|0.48|0.461|0.401|0.386|0.308|0.174|0.104|0.048|0.006|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	55|226|847|926|1150|1207|1619|2565|3123|3657|4116|17469|17469|17469|17469|17469|17469|17469|17469|17469	21|11|19|8|10|9|5|4|3|7|4|2|1|6|0|0|2|1|1|6
91	21595	23192	PTEN,TNKS,POT1,FANCD2,DCLRE1B,TERF1,TNKS2,TERF2,TERF2IP,TINF2,ACD	0.001384	0.0127	0.3045	1.205|0.805|0.575|0.295|0.214|0.177|0.073|0.0|0.0|0.0|0.0	58|249|598|1697|2233|2535|3426|17469|17469|17469|17469	16|9|14|17|7|5|11|4|4|4|7
92	21532	23129	TRRAP,ZNHIT1,SRCAP,MORF4L1,VPS72,YEATS4,ING4,KAT5,ACTR6,DMAP1	0.000708	0.0136	0.3215	1.345|0.477|0.387|0.18|0.104|0.0|0.0|0.0|0.0|0.0	40|859|1202|2497|3123|17469|17469|17469|17469|17469	38|5|34|5|5|1|2|4|1|1
93	20814	22410	PLRG1,SNW1,PRPF19,BCAS2,CDC5L	0.000114	0.0137	0.3215	0.511|0.248|0.208|0.11|0.0	753|2009|2273|3066|17469	8|7|6|3|7
94	21973	cut0.2-70	3057 genes including: TP53,PIK3CA,RB1,KDM6A,ARID1A,KMT2D,FGFR3,KMT2C,EP300,ERCC2,ATM,FBXW7,CREBBP,CDKN2A,ASXL2,NFE2L2,PHF3,RHOA,KANSL1,MED13,RBM26,BCLAF1,TRRAP,KIAA0368,HRAS,PSIP1,DIDO1,SF3B1,USP34,ATR,HSP90AA1,ACTB,PTEN,METTL3,SF3B3,STAG2,BRCA1,NKTR,FNBP4,MECOM,CHD2,ATN1,UTP20,SMARCA2,RAD21,CDK12,ARID2,ZC3H13,RC3H1,ARID1B	0.078940	0.0139	0.3228	3.608|2.782|2.747|2.708|2.674|2.609|2.209|2.173|2.061|1.915|1.908|1.885|1.788|1.742|1.648|1.584|1.473|1.462|1.438|1.419|1.374|1.359|1.345|1.342|1.337|1.332|1.322|1.313|1.305|1.248|1.227|1.209|1.205|1.19|1.187|1.184|1.175|1.16|1.16|1.159|1.132|1.118|1.108|1.089|1.07|1.059|1.052|1.018|1.012|1.009	1|2|3|4|5|6|8|9|11|12|13|14|16|18|22|23|28|30|32|34|37|38|40|41|42|43|44|45|46|52|55|57|58|59|60|61|62|67|67|68|72|76|78|84|88|94|95|103|106|109	200|89|77|104|104|117|57|79|63|38|55|33|51|27|35|26|29|19|24|35|20|22|38|19|17|20|35|24|38|31|21|17|16|17|22|56|21|22|17|19|28|16|25|26|17|29|32|17|20|24
95	21857	23457	FBXW7,HSP90AA1,KLHDC2,CUL1,COPS4,CUL2,CUL3,BRWD1,SKP1,DCUN1D2,SKP2,CUL4B,ASB8,RNF7,DCUN1D1,COPS3,SENP3,DCAF4,PSMA7,SUGT1,CDC34,ELOB,ELOC,DCUN1D3,DCUN1D4,DCUN1D5,CUL4A,CUL5,ZER1,LRR1,UBC,UBE2M,AMBRA1,COPS6,VCP,CAND1,TNF,NEDD8,VHL,UBXN1,UBXN7,RBX1	0.003935	0.0147	0.3267	1.885|1.227|0.833|0.48|0.461|0.401|0.386|0.352|0.337|0.308|0.307|0.298|0.174|0.104|0.077|0.048|0.006|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	14|55|226|847|926|1150|1207|1383|1459|1619|1624|1678|2565|3123|3386|3657|4116|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469	33|21|11|19|8|10|9|22|5|5|6|9|4|3|3|7|4|3|1|3|1|0|0|2|3|2|6|6|6|2|6|3|11|1|4|9|3|1|2|1|5|1
96	20555	22151	ACTB,ACTG1,ACTA1,MYH9	0.000313	0.0147	0.3267	1.209|0.742|0.113|0.0	57|309|3042|17469	17|11|4|29
97	20445	22041	CDKN1B,CKS2,CDK1,CCNB1	0.000069	0.0147	0.3267	0.587|0.471|0.0|0.0	568|890|17469|17469	6|4|1|4
98	20578	22174	CDC27,ANAPC5,ANAPC4,CDC16	0.000360	0.0149	0.3267	0.683|0.543|0.0|0.0	381|668|17469|17469	9|11|9|4
99	20018	21614	HRAS,LAMB3,LAMA3,LAMC2	0.000945	0.0154	0.3267	1.337|0.409|0.0|0.0	42|1117|17469|17469	17|12|36|6
100	21273	22869	HNRNPA2B1,SRSF2,HNRNPDL,HNRNPA1,HNRNPL,HNRNPM,RBMX	0.000721	0.0154	0.3267	0.81|0.394|0.356|0.337|0.0|0.0|0.0	246|1177|1357|1459|17469|17469|17469	11|5|6|7|3|3|3
101	21234	22830	CTNNB1,CTNND1,PSEN1,CDH1,CDH3,JUP,CTNNA1	0.000200	0.0154	0.3267	0.891|0.472|0.142|0.136|0.0|0.0|0.0	178|885|2792|2842|17469|17469|17469	14|10|8|12|7|5|5
102	20595	22191	NFKBIA,RELA,REL,NFKB1	0.000276	0.0155	0.3267	0.544|0.247|0.217|0.0	663|2012|2207|17469	6|6|7|4
103	21939	cut0.15-51	3269 genes including: TP53,RB1,ARID1A,KMT2D,CDKN1A,EP300,ERCC2,ATM,FBXW7,CREBBP,CDKN2A,TSC1,ASXL2,ATAD5,PHF3,KANSL1,MED13,RBM26,BCLAF1,TRRAP,KIAA0368,PSIP1,DIDO1,SF3B1,USP34,ATR,HSP90AA1,PTEN,METTL3,SF3B3,STAG2,BRCA1,NKTR,FNBP4,LRRCC1,CHD2,UTP20,DCAF12,SMARCA2,RAD21,CDK12,ARID2,ZC3H13,ARID1B,RNF111,RBBP6,ZMYM4,IPO7,ATAD2,SCAF4	0.078823	0.0156	0.3267	3.608|2.747|2.674|2.609|2.124|2.061|1.915|1.908|1.885|1.788|1.742|1.668|1.648|1.509|1.473|1.438|1.419|1.374|1.359|1.345|1.342|1.332|1.322|1.313|1.305|1.248|1.227|1.205|1.19|1.187|1.184|1.175|1.16|1.16|1.139|1.132|1.108|1.094|1.089|1.07|1.059|1.052|1.018|1.009|1.009|1.002|0.989|0.981|0.964|0.962	1|3|5|6|10|11|12|13|14|16|18|21|22|26|28|32|34|37|38|40|41|43|44|45|46|52|55|58|59|60|61|62|67|67|71|72|78|83|84|88|94|95|103|109|109|111|115|118|124|126	200|77|104|117|39|63|38|55|33|51|27|34|35|28|29|24|35|20|22|38|19|20|35|24|38|31|21|16|17|22|56|21|22|17|18|28|25|14|26|17|29|32|17|24|17|20|20|20|24|20
104	21524	23121	CASP8,HIST1H1E,RBM39,H2AFX,HIST1H1B,HIST1H1D,PARP1,XRCC5,HIST1H1C	0.001217	0.0156	0.3267	0.953|0.599|0.412|0.392|0.261|0.0|0.0|0.0|0.0	135|544|1105|1185|1919|17469|17469|17469|17469	15|8|9|4|7|3|11|2|7
105	20583	22179	PLRG1,CRNKL1,PRPF19,XAB2	0.000281	0.0157	0.3267	0.511|0.33|0.208|0.0	753|1490|2273|17469	8|12|6|9
106	20651	22247	IFT88,TTC30A,IFT52,TRAF3IP1,IFT57	0.000746	0.0161	0.3319	0.55|0.472|0.396|0.0|0.0	647|885|1167|17469|17469	10|6|6|4|2
107	20108	21704	LATS1,STK38,MOB1B,MOB1A	0.000996	0.0167	0.3389	0.729|0.435|0.181|0.0	325|1016|2485|17469	16|8|3|2
108	20564	22160	COPS4,CUL3,BTBD2,BTBD1	0.000180	0.0168	0.3389	0.461|0.386|0.265|0.0	926|1207|1896|17469	8|9|7|2
109	21806	23405	TP53,CTNNB1,WDR62,DUSP6,MAP3K4,DAPK1,MAPK3,HLA-A,RPS6KA3,MAPK8,SYNE2,MAP2K4,PEA15,MAPK8IP1,MAPK8IP2,MAPK8IP3,RAF1,ELK1,CASP3,DUSP16,MAP2K7,ATF2,EGFR,MAPK1,MAPK9,DUSP10	0.002148	0.0169	0.3389	3.608|0.891|0.527|0.422|0.414|0.39|0.346|0.271|0.243|0.187|0.141|0.137|0.135|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	1|178|708|1065|1095|1190|1411|1855|2035|2431|2798|2830|2855|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469	200|14|13|7|19|13|8|5|9|4|52|4|2|3|2|12|5|2|2|6|3|2|7|2|4|4
110	21440	23036	EXOC4,EXOC1,EXOC8,EXOC3,EXOC2,EXOC5,EXOC6,EXOC7	0.000591	0.0176	0.3467	0.643|0.605|0.313|0.179|0.0|0.0|0.0|0.0	450|538|1588|2510|17469|17469|17469|17469	13|9|10|8|10|5|6|8
111	20007	21603	ERBB3,EGF,NRG1,NRG2	0.000579	0.0176	0.3467	1.752|0.886|0.087|0.0	17|183|3295|17469	43|19|10|1
112	21535	23132	DPYS,FMO3,BHMT2,AKR1C4,CYP4A11,CYP2C9,ADH4,AGXT,CYP4F2,CYP2C8	0.001255	0.0181	0.3534	0.824|0.795|0.248|0.201|0.15|0.0|0.0|0.0|0.0|0.0	237|255|2009|2322|2730|17469|17469|17469|17469|17469	13|12|5|5|6|3|2|1|7|4
113	20497	22093	PTEN,RPA3,RPA1,RPA2	0.000026	0.0183	0.3541	1.205|0.421|0.0|0.0	58|1068|17469|17469	16|4|0|1
114	21501	23098	STAT1,GBP1,EIF2AK2,IFNG,GBP4,CD74,IRF1,TAP1,TAP2	0.000755	0.0187	0.3587	0.688|0.57|0.469|0.242|0.14|0.0|0.0|0.0|0.0	374|607|894|2039|2805|17469|17469|17469|17469	11|10|9|3|8|0|2|4|2
115	20569	22165	ARID1A,DPF2,SOX2,SMARCC2	0.000240	0.0189	0.3594	2.674|0.63|0.403|0.0	5|479|1142|17469	104|8|6|17
116	21022	22618	CTNNB1,NCOR1,TBL1XR1,TBL1X,EMD,HDAC3	0.000460	0.0193	0.3639	0.891|0.638|0.627|0.2|0.136|0.0	178|457|487|2330|2842|17469	14|32|9|5|3|1
117	20734	22330	EP300,NCOA6,CXXC1,SETD1A,ASH2L	0.000343	0.0200	0.3739	2.061|0.618|0.436|0.0|0.0	11|507|1013|17469|17469	63|14|10|10|1
118	20161	21757	FBXW7,MED17,MED4,MED1	0.000234	0.0202	0.3745	1.885|0.284|0.0|0.0	14|1767|17469|17469	33|6|2|19
119	20036	21632	AMOTL2,AMOT,MPP5,YAP1	0.000506	0.0204	0.3750	0.452|0.432|0.236|0.099	950|1032|2084|3173	9|10|8|6
120	21201	22797	SERPINC1,PON1,GC,ITIH4,F2,PON3	0.000627	0.0207	0.3769	0.672|0.578|0.321|0.0|0.0|0.0	401|587|1539|17469|17469|17469	8|7|6|6|3|3
121	21122	22718	HSP90AA1,TUBA1A,ACVRL1,ACVR1,ACVR1B,HSP90AB1	0.000426	0.0211	0.3769	1.227|0.464|0.094|0.083|0.0|0.0	55|911|3230|3330|17469|17469	21|8|5|6|2|10
122	20642	22238	COL5A2,COL3A1,TIMP2,MMP14,THBS2	0.000356	0.0212	0.3769	0.919|0.388|0.328|0.0|0.0	158|1199|1497|17469|17469	19|15|4|4|14
123	21708	23307	RB1,CDKN1A,CDKN1B,CKS2,PCNA,SKP2,CCND3,CDT1,CKS1B,CDC20,CDK1,CCNA2,CCNB1,CCNB2,CDK2	0.000204	0.0212	0.3769	2.747|2.124|0.587|0.471|0.328|0.307|0.175|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	3|10|568|890|1497|1624|2554|17469|17469|17469|17469|17469|17469|17469|17469	77|39|6|4|5|6|5|3|0|4|1|3|4|1|1
124	21446	23042	CSNK2A1,LEO1,CTR9,PAF1,CDC73,TCEA1,RTF1,WDR61	0.000235	0.0214	0.3769	0.889|0.884|0.43|0.018|0.0|0.0|0.0|0.0	181|185|1035|3985|17469|17469|17469|17469	12|13|10|6|5|0|3|1
125	22419	cut0.3-412	TGFBRAP1,VPS33A,VPS8,MSH2,STX17,TRIQK,VPS16,VPS18,VPS39,VPS41,VPS11	0.000950	0.0217	0.3769	0.591|0.571|0.505|0.405|0.0|0.0|0.0|0.0|0.0|0.0|0.0	559|605|776|1135|17469|17469|17469|17469|17469|17469|17469	10|10|15|11|0|0|7|3|6|5|8
126	20948	22544	EIF4A3,RBM8A,MAGOH,PNN,CASC3	0.000164	0.0217	0.3769	0.632|0.478|0.393|0.0|0.0	477|851|1180|17469|17469	9|5|4|6|7
127	20520	22116	BRCA1,BRIP1,MLH1,PMS2	0.000043	0.0224	0.3852	1.175|0.831|0.0|0.0	62|229|17469|17469	21|21|9|10
128	20749	22345	IFI44L,IFI44,MX1,OAS3,OAS2	0.000326	0.0226	0.3852	0.301|0.291|0.286|0.23|0.0	1662|1724|1753|2117|17469	6|5|9|9|14
129	20713	22309	GIMAP6,GIMAP7,GIMAP1,GIMAP8,GIMAP4	0.000292	0.0227	0.3852	0.477|0.423|0.095|0.0|0.0	859|1057|3222|17469|17469	6|5|6|8|2
130	22429	cut0.3-422	PBX2,HOXA7,HOXA10,HOXB1,MEIS2,PBX3,MEIS1,PIGL,PBX1,MEIS3,HOXA9,MAB21L1	0.001449	0.0230	0.3861	0.736|0.635|0.46|0.2|0.168|0.0|0.0|0.0|0.0|0.0|0.0|0.0	314|470|928|2330|2605|17469|17469|17469|17469|17469|17469|17469	10|6|7|6|6|4|4|2|4|4|2|3
131	22442	cut0.3-434	RPGRIP1L,IFT88,TTC30A,IFT52,TTC30B,IFT80,IFT81,IFT172,TRAF3IP1,TTC26,UBXN10,IFT22,IFT46,CLUAP1,IFT57,IFT74	0.001210	0.0231	0.3861	0.867|0.55|0.472|0.396|0.183|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	204|647|885|1167|2470|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469	19|10|6|6|7|5|8|15|4|4|0|0|4|4|2|4
132	22450	cut0.3-441	CDKN2A,AKAP9,ANKIB1,CRYBG3,PJA2,GABRB3,AKAP5,PRKAR1B,PRKAR2A,PRKACB,DUS1L,AKAP1,AKAP11,CDK5RAP2,AKAP2,AKAP3,PRKAR1A,MYCBPAP,PRKAR2B,CEP68,ANKRD26,MAATS1,PRKX,ARFGEF2,PRKACA	0.001789	0.0235	0.3869	1.742|1.452|0.439|0.372|0.336|0.182|0.142|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	18|31|999|1273|1465|2476|2792|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469	27|46|14|9|5|9|5|3|4|4|6|8|15|8|0|7|5|9|5|8|17|9|1|15|2
133	20928	22524	CASP1,STAT1,DTX3L,TRIM22,TAP2	0.000298	0.0235	0.3869	0.859|0.688|0.051|0.0|0.0	211|374|3632|17469|17469	11|11|7|4|2
134	20357	21953	KDR,VEGFA,FLT1,FLT4	0.000440	0.0241	0.3938	0.564|0.438|0.0|0.0	620|1006|17469|17469	15|7|8|12
135	20226	21822	UPF2,DCP2,DCP1A,UPF1	0.000102	0.0251	0.4015	0.592|0.299|0.0|0.0	558|1672|17469|17469	15|6|5|14
136	20257	21853	GOLGA5,PRRC1,ACBD3,ARCN1	0.000463	0.0252	0.4015	0.611|0.265|0.123|0.0	523|1896|2964|17469	11|6|6|5
137	21845	23445	TP53,TRRAP,TAF11,SUPT20H,TAF3,TAF6,TADA2A,SUPT3H,KAT2A,TAF12,TAF13,SMARCA4,ATXN7L3,SGF29,HIST1H3A,MED1,MED26,HIST3H3,TBP,TADA1,SUPT7L,TADA2B,TADA3,TAF1,TAF10,KAT2B,TAF2,TAF4,TAF4B,TAF5,TAF5L,TAF6L,TAF8,TAF9,TAF9B,TAF7,ATXN7,ENY2,USP22	0.001095	0.0253	0.4015	3.608|1.345|0.833|0.582|0.436|0.348|0.285|0.229|0.171|0.091|0.078|0.069|0.023|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	1|40|226|575|1013|1397|1759|2123|2581|3267|3378|3465|3926|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469	200|38|9|11|10|8|7|5|8|2|2|24|5|0|1|19|6|0|2|1|4|4|2|10|1|4|9|6|6|4|3|6|2|4|3|2|3|0|1
138	20902	22498	UBE3A,CFTR,TARDBP,SQSTM1,HSPA4	0.000423	0.0253	0.4015	0.609|0.477|0.203|0.0|0.0	528|859|2312|17469|17469	12|16|5|3|5
139	20601	22197	MTDH,H2AFX,SUPT16H,SSRP1	0.000081	0.0256	0.4034	0.596|0.392|0.0|0.0	550|1185|17469|17469	7|4|18|8
140	20491	22087	CTNNB1,PSEN1,CDH1,CTNNA1	0.000024	0.0272	0.4256	0.891|0.142|0.136|0.0	178|2792|2842|17469	14|8|12|5
141	21669	23267	PIK3CA,FNBP1,MYH10,PIK3R1,IL12B,GAS7,WAS,GRAP,ITSN1,GRB2,MYO1C,MYH9,WIPF1	0.000495	0.0285	0.4428	2.782|0.698|0.64|0.31|0.165|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	2|362|455|1605|2623|17469|17469|17469|17469|17469|17469|17469|17469	89|10|23|7|4|7|5|1|13|1|5|29|5
142	21117	22713	USP7,UBE2N,RNF168,CHFR,UBC,USP13	0.000346	0.0293	0.4504	0.949|0.377|0.195|0.0|0.0|0.0	138|1248|2374|17469|17469|17469	15|4|9|10|6|8
143	20579	22175	ARPC4,ARPC2,ACTR3,ACTR2	0.000111	0.0294	0.4504	0.514|0.373|0.0|0.0	745|1270|17469|17469	5|5|2|2
144	22438	cut0.3-430	ERBB3,ERBB2,MPP6,AMOT,CADM1,MPP7,MPP5,SSTR3,MPDZ,DLG1,LIN7A,LIN7B,LIN7C,HTR2C,ASIC3,RASA3,KIF26B,KCNJ12,CASK,MPP3,ERBB4,PATJ	0.001124	0.0302	0.4595	1.752|1.434|0.611|0.432|0.368|0.301|0.236|0.116|0.076|0.023|0.01|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	17|33|523|1032|1299|1662|2084|3016|3393|3926|4079|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469	43|50|10|10|6|6|8|4|20|10|3|1|1|2|2|6|14|5|10|3|12|0
145	21161	22757	TRAPPC8,TRAPPC12,TRAPPC2L,TRAPPC2,TRAPPC3,TRAPPC11	0.000145	0.0309	0.4669	0.533|0.378|0.293|0.0|0.0|0.0	691|1242|1710|17469|17469|17469	11|9|3|1|1|7
146	21691	23289	EXOSC10,EXOSC9,DIS3L,EXOSC5,MPHOSPH6,EXOSC4,C1D,EXOSC1,EXOSC2,EXOSC3,EXOSC6,EXOSC7,EXOSC8,DIS3	0.000256	0.0316	0.4706	0.599|0.407|0.299|0.275|0.258|0.099|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	544|1130|1672|1823|1939|3173|17469|17469|17469|17469|17469|17469|17469|17469	14|8|9|4|3|3|1|2|2|0|1|3|3|6
147	22434	cut0.3-427	ERCC2,GTF2E1,GTF2H3,CDK7,ERCC3,ERCC5,CCNH,MNAT1,GTF2H1,GTF2H2,GTF2H4,GTF2H5	0.000132	0.0316	0.4706	1.915|0.499|0.439|0.382|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	12|800|999|1223|17469|17469|17469|17469|17469|17469|17469|17469	38|7|6|6|7|2|3|4|5|1|3|0
148	22406	cut0.3-400	HOXB6,HOXA2,HOXA1,HOXA5,HOXB5,HOXB7,HOXB9	0.000583	0.0319	0.4706	0.499|0.401|0.285|0.206|0.0|0.0|0.0	800|1150|1759|2285|17469|17469|17469	6|5|4|3|2|2|2
149	21586	23183	RICTOR,SIRT1,MLST8,MAPK3,GNB1,SQSTM1,MAPKAP1,RPS6KB1,RPTOR,AKT1,MTOR	0.000130	0.0320	0.4706	0.789|0.623|0.349|0.346|0.015|0.0|0.0|0.0|0.0|0.0|0.0	260|495|1395|1411|4015|17469|17469|17469|17469|17469|17469	20|10|5|8|4|3|3|3|13|4|13
150	20933	22529	GNG4,GNB3,GNAI3,GNAI2,GNAT1	0.000309	0.0333	0.4845	0.476|0.39|0.236|0.054|0.0	862|1190|2084|3596|17469	4|6|6|5|3
151	20503	22099	EXOC4,EXOC8,EXOC3,EXOC5	0.000182	0.0335	0.4845	0.643|0.313|0.179|0.0	450|1588|2510|17469	13|10|8|5
152	19965	21561	CRTC3,FOXJ2,FAM216A,ERI1	0.000387	0.0336	0.4845	0.481|0.369|0.145|0.0	845|1293|2765|17469	10|7|4|3
