System.names	No.genes	Selection.pressure	p	q	Genes	Gene.ranks	Signal
NR4A1	203	0.0029	0.218	0.9613	ZC3H4|BTN1A1|LOC100129361|NCKAP1L|IFI35|CLK1|SNRNP40|STXBP3|JUP|NR4A2|KDM6B|PEA15|SKIV2L2|WDR45L|PCDHGA12|EIF1|N4BP3|RASA2|AEBP1|INTS1	4|43|77|82|103|135|199|244|348|364|373|392|426|436|438|450|467|485|543|547	6.37|5.68|5.48|-5.45|5.36|5.24|5|-4.85|4.61|4.56|-4.54|4.5|4.44|4.42|-4.41|-4.37|-4.34|-4.3|-4.19|-4.18
DBP	270	0.0031	0.219	0.9613	RABEPK|RPL17|QPCT|MANF|RPL12|ARL6IP1|ST5|IFI35|RANBP6|RPS19|HIST1H3D|ATP5C1|RNF167|KIAA0040|C1QL1|DSCR3|LPHN3|EEF2|MRPS11|SRGN	1|23|29|30|31|64|93|103|137|148|156|160|160|168|194|238|259|307|307|312	6.47|5.85|5.78|5.77|5.76|5.53|5.4|5.36|5.23|5.16|5.14|5.13|5.13|-5.1|5.01|4.86|-4.8|-4.7|-4.7|-4.69
AHCTF1	324	0.003	0.22	0.9613	AKAP12|CSNK1D|RPL17|MTHFS|TSN|CS|SLC25A36|HADHA|HNRNPK|TCERG1|PTPRE|POLD4|MPG|BST1|IL1B|NRD1|TNFRSF10B|PTPRG|SLC5A6|SNX13	18|20|23|32|61|66|110|152|168|172|176|186|269|275|289|297|369|388|415|432	6|5.94|5.85|5.75|5.55|5.52|-5.33|5.15|5.1|-5.08|-5.07|5.04|4.77|4.76|-4.73|4.71|-4.55|-4.51|4.46|-4.43
ZNF124	277	0.0033	0.223	0.9613	ARPC2|SLC25A36|SPAG9|PHF21A|LRRC32|RPL38|RPS17|BLVRB|SCCPDH|PLCB2|KIF3A|MAT2A|ADD1|USPL1|SEC62|BAIAP3|SELE|UBL4A|EXTL3|USP46	54|110|135|156|164|168|176|179|179|187|219|219|234|236|269|289|327|333|344|358	5.58|-5.33|5.24|-5.14|5.11|-5.1|5.07|-5.06|5.06|5.03|4.92|4.92|4.88|4.87|4.77|4.73|-4.65|-4.64|-4.62|-4.58
ZMYND10	340	0.003	0.223	0.9613	WNT10B|AMH|KRT33A|MTMR11|WBP4|DENND5A|CAMSAP1|HOXD13|UTF1|GCNT2|PLXNA2|TSHB|SULT4A1|ARNTL|KRT5|CREG1|PSPH|GATA4|ADD2|SEMG2	8|9|25|25|27|46|61|72|115|126|156|199|205|236|257|307|338|344|397|397	6.26|6.23|5.84|-5.84|5.81|5.67|5.55|5.5|5.31|5.28|5.14|5|4.98|-4.87|-4.81|4.7|4.63|4.62|4.49|4.49
HES1	360	0.0033	0.224	0.9613	LDHA|KCNAB1|CLTA|MTHFS|ARPC2|CYP24A1|ARL4A|ABCC10|HOMER2|FMOD|SPAG9|DRG1|RPL38|IDH3G|SRF|M6PR|HBXIP|WNT5A|FBXO9|SLC26A2	5|14|28|32|54|57|70|75|87|110|135|152|168|172|176|202|234|248|289|327	6.34|6.07|5.8|5.75|5.58|-5.56|5.51|5.49|5.42|5.33|5.24|5.15|-5.1|-5.08|5.07|-4.99|-4.88|-4.84|-4.73|-4.65
DRAP1	243	0.003	0.225	0.9613	AMH|VPS13D|POU3F2|ST5|SORBS2|RAD23B|FMOD|DST|GCNT2|HIST1H3D|TCERG1|SETD3|C1QL1|HOXC6|IL1B|RNASE2|NR2C1|ACO1|ACOX1|CDKN1B	9|15|18|93|96|100|110|112|126|156|172|179|194|280|289|289|312|358|373|407	6.23|6.05|6|5.4|-5.39|5.38|5.33|5.32|5.28|5.14|-5.08|5.06|5.01|4.75|-4.73|4.73|4.69|-4.58|4.54|-4.47
MTF1	315	0.0033	0.226	0.9613	RABEPK|RDBP|RRN3|NLGN4Y|HOMER2|UBE2E1|ATP6V0C|RRP12|CAMSAP1L1|SOD1|RNF41|DSTN|R3HDM1|NCOA1|PFAS|TEAD3|LGR5|PHKA2|MET|UVRAG	1|70|77|78|87|87|100|110|115|234|248|251|251|257|284|388|402|402|432|436	6.47|5.51|5.48|5.47|5.42|5.42|-5.38|5.33|5.31|-4.88|-4.84|-4.83|4.83|4.81|-4.74|4.51|-4.48|-4.48|4.43|-4.42
FOSB	197	0.0031	0.226	0.9613	COX10|ARL4A|ZFP36L2|HOMER2|ENSA|SPAG9|ERH|PLCB2|SNRNP40|P2RX1|SEMG2|SKIV2L2|PCDHGA12|DAP3|SPTB|FCN1|ICAM4|ACBD3|LYPD3|BAIAP2	4|70|84|87|112|135|142|187|199|376|397|426|438|509|509|566|586|604|631|647	6.37|5.51|5.43|5.42|5.32|5.24|-5.21|5.03|5|4.53|4.49|4.44|-4.41|-4.26|-4.26|4.16|-4.13|4.1|-4.05|4.02
ZNF76	160	0.0033	0.23	0.9716	CPT1B|KIAA0141|CLPS|HOXD13|RNF167|TP53I3|LDB2|AOX1|SEC23B|ZBTB48|ADSS|KCNJ15|LIMS1|STK38L|MAP2|TERF1|DDX21|PPFIBP2|NOTCH3|P2RY10	21|40|49|72|160|212|280|351|479|479|499|499|586|678|838|838|875|875|954|1026	5.9|5.69|5.62|5.5|5.13|4.94|4.75|-4.6|-4.31|-4.31|4.28|4.28|-4.13|-3.98|3.73|3.73|3.69|3.69|-3.6|3.51
CIC	300	0.003	0.238	0.9747	KCNAB2|CAMSAP1|RDBP|NCKAP1L|UBE2E1|AAMP|PRKAA2|BBOX1|SUPT5H|ZEB2|SOD1|EPHB6|IDI1|MRPS11|SC4MOL|VWF|PLEKHB1|KDM6B|ZMIZ2|PCDHGA12	52|61|70|82|87|91|135|137|184|222|234|269|269|307|307|327|333|373|432|438	5.59|5.55|5.51|-5.45|5.42|5.41|5.24|5.23|5.05|4.91|-4.88|-4.77|-4.77|-4.7|4.7|-4.65|4.64|-4.54|-4.43|-4.41
NOLC1	536	0.0034	0.242	0.9747	CLTA|PSMC1|SLC25A16|RFK|PRKAR1B|RIN2|MTHFD2|CLEC11A|DNM1L|AAMP|SLC25A3|SORBS2|UTF1|TTLL12|VDAC2|ATP5C1|TCERG1|SLC25A12|WDR46|MAT2A	28|36|36|63|66|72|75|82|84|91|93|96|115|117|144|160|172|194|216|219	5.8|5.72|5.72|5.54|-5.52|-5.5|-5.49|5.45|5.43|5.41|5.4|-5.39|5.31|5.3|-5.19|5.13|-5.08|5.01|-4.93|4.92
AFF3	215	0.0027	0.245	0.9747	ROR1|TFF2|MANF|BTN1A1|ABCC10|VPS41|ENSA|CAMSAP1L1|KCNA5|PLXNA2|IDH3G|RPS17|PLIN2|BST2|SNRPC|ZNF318|BMP3|FHL2|DOK1|CTF1	6|22|30|43|75|96|112|115|156|156|172|176|222|228|261|312|338|348|351|382	6.33|5.88|5.77|5.68|5.49|5.39|5.32|5.31|5.14|5.14|-5.08|5.07|4.91|4.9|4.79|4.69|4.63|-4.61|-4.6|-4.52
MYF6	322	0.0031	0.246	0.9747	VPS13D|RPL17|RPL12|RIN2|TPP1|HLA-DMA|GCNT2|BBOX1|ACOT7|RPS17|DSCR3|POLD3|APBB1|DHCR24|CFD|SNX27|FLT3|ACP5|PHKA2|MECP2	15|23|31|72|101|110|126|137|146|176|238|269|275|275|289|333|369|376|402|450	6.05|5.85|5.76|-5.5|5.37|5.33|5.28|5.23|-5.17|5.07|4.86|4.77|4.76|4.76|4.73|-4.64|4.55|-4.53|-4.48|-4.37
TOP2A	749	0.0042	0.249	0.9747	RABEPK|LDHA|MTHFS|TIAM1|KIAA0182|SMAP1|ARL6IP1|BUB3|MTHFD2|ZFP36L2|TIMP1|IFI35|FMOD|HLA-DMA|ARHGEF17|LCP1|ACOT7|HMGA1|RPL38|C1QL1	1|5|32|33|52|56|64|70|75|84|100|103|110|110|126|126|146|152|168|194	6.47|6.34|5.75|5.74|5.59|-5.57|5.53|5.51|-5.49|5.43|-5.38|5.36|5.33|5.33|-5.28|5.28|-5.17|5.15|-5.1|5.01
TAF4	235	0.0031	0.249	0.9747	ZC3H4|SLC25A16|EIF4G3|BST2|BANF1|SNX27|UBL4A|PEA15|ZMIZ2|LDOC1|WDR45L|LIG1|PRKAB1|ADSS|ARR3|LMO1|PDE4B|TMEM66|DIDO1|EVI2B	4|36|130|228|293|333|333|392|432|436|436|459|479|499|499|558|566|580|624|624	6.37|5.72|5.26|4.9|4.72|-4.64|-4.64|4.5|-4.43|4.42|4.42|4.35|4.31|4.28|4.28|4.17|-4.16|4.14|4.06|-4.06
RCHY1	344	0.0029	0.249	0.9747	CPT1B|PSMC1|SLC25A16|KCNAB2|RFK|BUB3|UBE2L3|CLCN7|ERH|TTLL3|THUMPD1|HSPA13|TSHB|UBA7|TP53I3|STXBP3|NCOA1|LMAN2|KLK3|ITGB3	21|36|36|52|63|70|106|126|142|146|160|184|199|199|212|244|257|284|321|348	5.9|5.72|5.72|5.59|5.54|5.51|-5.34|5.28|-5.21|5.17|5.13|-5.05|5|-5|4.94|-4.85|4.81|4.74|4.66|-4.61
NFKB2	233	0.003	0.25	0.9747	CSNK1D|SMAP1|TTLL12|TNFAIP3|PIGH|ARNTL|SEC22B|RHOQ|NR2C1|HIST1H2AH|SEC24B|AUH|ACOX1|PTPRG|EIF1AY|STK25|ICAM1|ATP11B|EIF2B5|RHOG	20|56|117|184|228|236|259|293|312|316|338|362|373|388|432|450|485|494|494|509	5.94|-5.57|5.3|5.05|-4.9|-4.87|4.8|-4.72|4.69|4.68|4.63|-4.57|4.54|-4.51|4.43|4.37|4.3|4.29|4.29|4.26
ESRRA	290	0.003	0.252	0.9747	RPL12|PRKAR1B|DNM1L|FMOD|ARHGAP6|ETFDH|TICAM1|OVGP1|RFPL1|FLT3|ZNF593|CAP2|NCLN|ALDOA|PCDHGA12|MMP15|POLR2E|HEXB|PDE4B|TBX19	31|66|84|110|148|244|280|312|344|369|369|392|415|418|438|558|558|566|566|598	5.76|-5.52|5.43|5.33|5.16|-4.85|4.75|4.69|-4.62|4.55|-4.55|4.5|4.46|-4.45|-4.41|4.17|4.17|4.16|-4.16|4.11
JUN	200	0.0031	0.253	0.9747	MGST3|DST|LILRB2|APBB1|CAPN2|SPRY2|SEC24B|SAFB|LCP2|C11orf51|CENPF|ANKRD40|RENBP|ATP6V0A2|IL11RA|CLOCK|HEXB|ICAM4|LIMS1|LYPD3	91|112|176|275|307|316|338|397|402|415|459|494|503|518|518|543|566|586|586|631	5.41|5.32|-5.07|4.76|-4.7|-4.68|4.63|4.49|4.48|4.46|-4.35|-4.29|-4.27|-4.24|4.24|-4.19|4.16|-4.13|-4.13|-4.05
THRA	173	0.003	0.253	0.9747	WNT10B|SORBS2|NADK|KCNA5|TSHB|MRFAP1L1|ID2|LGR5|ADPRH|PCDHGA12|SASH1|AGFG2|PPAT|KRT4|S100P|HAAO|QKI|MYOG|EXD2|IMPA1	8|96|120|156|199|327|344|402|407|438|633|655|721|736|736|771|779|789|821|848	6.26|-5.39|-5.29|5.14|5|4.65|4.62|-4.48|-4.47|-4.41|4.04|-4.01|3.92|3.9|-3.9|3.86|-3.85|3.84|3.76|3.72
TFAP2A	242	0.0026	0.262	0.9747	PBX2|RFK|TNFRSF8|ENSA|CAMSAP1L1|NADK|ARHGAP6|BTAF1|HNRNPK|IDH3G|SCCPDH|CFD|USP24|RFPL1|FAM120A|NR4A2|ZNF273|CUL7|CASP1|DHX9	46|63|103|112|115|120|148|160|168|172|179|289|297|344|358|364|397|415|426|456	5.67|5.54|5.36|5.32|5.31|-5.29|5.16|5.13|5.1|-5.08|5.06|4.73|4.71|-4.62|4.58|4.56|-4.49|-4.46|-4.44|-4.36
CTCF	320	0.0027	0.269	0.9747	ZC3H4|VPS13D|BUB3|VPRBP|SLC25A3|NADK|FCER1G|GTF2I|BLVRB|TNKS|SOD1|R3HDM1|SEC62|FAM120A|PLEK|PEA15|SAFB|ZNF273|RNASE6|UGT2B7	4|15|70|91|93|120|129|172|179|228|234|251|269|358|382|392|397|397|426|426	6.37|6.05|5.51|-5.41|5.4|-5.29|5.27|-5.08|-5.06|4.9|-4.88|4.83|4.77|4.58|-4.52|4.5|4.49|-4.49|-4.44|4.44
RFX5	210	0.0026	0.269	0.9747	LDHA|AKAP12|RPL12|RAB3GAP2|RIN2|SRRT|EIF4G3|HNRNPK|GTF2I|POLD4|NQO1|SEC22B|MPG|RNASE2|SLC26A2|TNFRSF10B|P2RX1|PTPRG|ALDOA|ST20	5|18|31|54|72|120|130|168|172|186|230|259|269|289|327|369|376|388|418|436	6.34|6|5.76|5.58|-5.5|5.29|5.26|5.1|-5.08|5.04|4.89|4.8|4.77|4.73|-4.65|-4.55|4.53|-4.51|-4.45|4.42
TRIM25	242	0.0025	0.269	0.9747	TIAM1|U2AF2|ETS2|NFX1|DSCR3|POLD1|BST1|LDB2|HMGB1|EEF2|SNX27|CEP68|TNFRSF10B|SEPT7|ADM|SAFB|STK16|MET|TRIB1|ENO2	33|49|184|228|238|253|275|280|293|307|333|364|369|382|388|397|418|432|473|503	5.74|-5.62|5.05|4.9|4.86|4.82|4.76|4.75|-4.72|-4.7|-4.64|4.56|-4.55|4.52|4.51|4.49|4.45|4.43|-4.32|-4.27
ZNF354A	254	0.0025	0.269	0.9747	U2AF2|EXTL1|DST|DRG1|HMGA1|DYNLT3|CD14|KIF3A|TTF1|STXBP3|SERPINA5|LDB2|FBXO9|C1orf9|KLK3|SNX27|PSPH|SEC24B|FLT3|OSTF1	49|106|112|152|152|194|207|219|234|244|275|280|289|319|321|333|338|338|369|392	-5.62|-5.34|5.32|5.15|5.15|5.01|4.97|4.92|4.88|-4.85|4.76|4.75|-4.73|4.67|4.66|-4.64|4.63|4.63|4.55|-4.5
ZBTB7A	256	0.0026	0.271	0.9747	CAMSAP1|ATP6V0C|UTF1|SPAG9|PLXNA2|THUMPD1|KIF3A|HBXIP|SEC22B|C9|TICAM1|HMGB1|NFAT5|SPAG7|SAFB|PHKA2|TNFAIP2|ATXN2L|MDH1|DOK2	61|100|115|135|156|160|219|234|259|280|280|293|312|382|397|402|415|445|472|503	5.55|-5.38|5.31|5.24|5.14|5.13|4.92|-4.88|4.8|4.75|4.75|-4.72|-4.69|4.52|4.49|-4.48|-4.46|4.38|4.33|-4.27
FOXD1	239	0.0024	0.271	0.9747	TRIM25|CST7|PBX2|LOC100129361|RBM39|ACOT7|SLC25A12|FCGR3A|SCRN1|GPLD1|RHOQ|GYS2|PLAT|PTPRG|OSTF1|ADPRH|RASA2|EREG|HEXB|POLR3F	8|36|46|77|142|146|194|269|275|284|293|307|333|388|392|407|485|513|566|566	6.26|5.72|5.67|5.48|5.21|-5.17|5.01|4.77|4.76|4.74|-4.72|4.7|4.64|-4.51|-4.5|-4.47|-4.3|4.25|4.16|4.16
ETS1	317	0.0025	0.272	0.9747	RPL17|RAB3GAP2|NLGN4Y|UBE2E1|ST5|DST|NADK|ACOT7|C1QL1|SERPINB6|ARID4A|SEC22B|SEC62|SC4MOL|SELE|CDH18|ACOX1|ACP5|SEPT7|OSTF1	23|54|78|87|93|112|120|146|194|194|209|259|269|307|327|369|373|376|382|392	5.85|5.58|5.47|5.42|5.4|5.32|-5.29|-5.17|5.01|5.01|4.96|4.8|4.77|4.7|-4.65|-4.55|4.54|-4.53|4.52|-4.5
ZNF292	233	0.0026	0.273	0.9747	ABCD4|QPCT|ARPC2|RAB3GAP2|ABCC10|LOC100129361|THOC2|PHF21A|POLD4|SULT4A1|WNK1|TICAM1|ZNF318|ESD|TMEM147|TBCD|FIBP|INTS1|ELAC2|DIDO1	10|29|54|54|75|77|115|156|186|205|219|280|312|344|456|524|543|547|604|624	6.12|5.78|5.58|5.58|5.49|5.48|5.31|-5.14|5.04|4.98|4.92|4.75|4.69|-4.62|4.36|4.23|4.19|-4.18|4.1|4.06
NR2F6	223	0.0025	0.276	0.9747	SERPINA1|ACOT7|TTLL3|HSPA13|TNFAIP3|PLCB2|FCGR3A|CDH18|MCM4|N4BP2L2|CDK2AP2|CDC45|IVD|NFYC|TBXAS1|FIBP|ERCC3|TMEM66|BRCA1|ELAC2	63|146|146|184|184|187|269|369|407|407|415|456|472|494|499|543|566|580|586|604	5.54|-5.17|5.17|-5.05|5.05|5.03|4.77|-4.55|4.47|-4.47|4.46|-4.36|-4.33|4.29|-4.28|4.19|-4.16|4.14|4.13|4.1
MNX1	216	0.0026	0.277	0.9747	MTMR11|SERPINA1|CFDP1|FCER1G|CLK1|SOD1|USPL1|FADS1|WNT5A|NCOA1|STARD13|DHCR24|SC4MOL|PLEK|ITGA6|LCP2|ALDOA|PCDHGA12|ABP1|BEX4	25|63|126|129|135|234|236|238|248|257|269|275|307|382|388|402|418|438|467|518	-5.84|5.54|-5.28|5.27|5.24|-4.88|4.87|4.86|-4.84|4.81|4.77|4.76|4.7|-4.52|-4.51|4.48|-4.45|-4.41|-4.34|-4.24
ZNF821	212	0.0025	0.277	0.9747	ABCD4|MTF1|NLGN4Y|PTPRCAP|EXTL1|CAMSAP1L1|ARID4A|USPL1|APBB1|TICAM1|ACO1|ACOX1|KDM6B|SLC5A6|RHBDL1|APOBEC3C|CORO1A|LAMB2|CRLF3|SMARCB1	10|39|78|96|106|115|209|236|275|280|358|373|373|415|467|580|618|647|683|706	6.12|5.71|5.47|5.39|-5.34|5.31|4.96|4.87|4.76|4.75|-4.58|4.54|-4.54|4.46|4.34|4.14|4.07|-4.02|3.97|3.94
ZFYVE26	286	0.0024	0.281	0.9747	PBX2|NCKAP1L|EIF4G3|ARHGAP6|M6PR|RECQL|WNK1|SEC22B|SNRPC|MPG|DOK1|TNFRSF4|SCAMP1|CUL7|STK16|ARR3|SRSF10|HNRNPA0|MMP15|DIDO1	46|82|130|148|202|202|219|259|261|269|351|382|392|415|418|499|509|558|558|624	5.67|-5.45|5.26|5.16|-4.99|4.99|4.92|4.8|4.79|4.77|-4.6|4.52|4.5|-4.46|4.45|4.28|-4.26|-4.17|4.17|4.06
ZNF131	230	0.0028	0.282	0.9747	CSNK1D|RRN3|WISP2|PTPRCAP|SORBS2|THOC2|B4GALT6|VWA5A|SLC25A12|CUL5|PLIN2|TTF1|RNF41|JUP|ITGA6|ZNF254|EIF1AY|CHRND|ABP1|SRSF10	20|77|87|96|96|115|120|129|194|205|222|234|248|348|388|426|432|456|467|509	5.94|5.48|5.42|5.39|-5.39|5.31|5.29|5.27|5.01|4.98|4.91|4.88|-4.84|4.61|-4.51|4.44|4.43|4.36|-4.34|-4.26
ELF1	301	0.0023	0.283	0.9747	ARHGEF17|BTAF1|GTF2I|POLD4|SERPINB6|ARID4A|TNKS|NQO1|USPL1|IDI1|SEC62|SCRN1|C1orf9|EXTL3|TUSC3|NR4A2|ACOX1|HOXD8|SEPT7|ZNF273	126|160|172|186|194|209|228|230|236|269|269|275|319|344|362|364|373|373|382|397	-5.28|5.13|-5.08|5.04|5.01|4.96|4.9|4.89|4.87|-4.77|4.77|4.76|4.67|-4.62|4.57|4.56|4.54|4.54|4.52|-4.49
HOPX	363	0.0023	0.287	0.9747	QPCT|CST7|BPGM|TSN|ARL6IP1|RIN2|CAMTA1|SLC2A3|TIMP1|TPP1|HLA-DMA|CFDP1|FCER1G|HADHA|KIAA0040|SUPT5H|GFPT2|CD14|FADS1|FCGR3A	29|36|43|61|64|72|80|91|100|101|110|126|129|152|168|184|199|207|238|269	5.78|5.72|5.68|5.55|5.53|-5.5|5.46|5.41|-5.38|5.37|5.33|-5.28|5.27|5.15|-5.1|5.05|-5|4.97|4.86|4.77
CREBZF	197	0.0023	0.293	0.9747	CLK1|RPS19|RPL38|LPHN3|RNASE2|DOK1|FAM120A|TKTL1|ATP7A|IVD|NFYC|DOK2|FEZ2|TBX19|OSBPL2|TAF1B|SDC4|RNMT|TGM2|STXBP2	135|148|168|259|289|351|358|432|467|472|494|503|590|598|624|655|673|711|727|747	5.24|5.16|-5.1|-4.8|4.73|-4.6|4.58|-4.43|4.34|-4.33|4.29|-4.27|-4.12|4.11|4.06|-4.01|3.99|-3.93|3.91|-3.89
HCFC1	240	0.0027	0.294	0.9747	AMH|PLAGL2|CS|FABP5|SUPT5H|WDR46|FADS1|NR1D1|MYO1B|MRPS11|SPAG7|SAFB|CDKN1B|SNX13|ATXN2L|TTI1|ITGB5|TOPORS|INTS1|NPTX1	9|61|66|75|184|216|238|244|280|307|382|397|407|432|445|450|518|543|547|574	6.23|5.55|5.52|5.49|5.05|-4.93|4.86|4.85|-4.75|-4.7|4.52|4.49|-4.47|-4.43|4.38|-4.37|-4.24|-4.19|-4.18|-4.15
ZNF711	232	0.0025	0.295	0.9747	AKAP12|PLAGL2|HIST1H3D|RECQL|DSTN|PMPCA|NR2C1|SNX27|ACO1|TUSC3|RHBDL1|OSMR|PSMD6|MYO7A|DYNC1H1|IKZF1|C18orf25|PAIP1|BAI3|FCHO1	18|61|156|202|251|257|312|333|358|362|467|472|494|518|529|536|639|647|673|692	6|5.55|5.14|4.99|-4.83|-4.81|4.69|-4.64|-4.58|4.57|4.34|4.33|4.29|4.24|4.22|-4.2|-4.03|-4.02|-3.99|-3.96
NKX2-5	266	0.0024	0.295	0.9747	ABCD4|POU3F2|CYP24A1|RFK|ARL6IP1|NLGN4Y|NCKAP1L|UBE2E1|RAD23B|KLF5|ARHGAP6|THUMPD1|HSPA13|MPG|BST1|FAM120A|IGF1|GALNS|ATXN2L|GATM	10|18|57|63|64|78|82|87|100|142|148|160|184|269|275|358|415|442|445|456	6.12|6|-5.56|5.54|5.53|5.47|-5.45|5.42|5.38|5.21|5.16|5.13|-5.05|4.77|4.76|4.58|-4.46|4.39|4.38|-4.36
ZNF428	231	0.0023	0.302	0.9747	ROR1|RIN2|TNFRSF8|B4GALT6|NADK|THUMPD1|PMVK|SEC22B|HIST1H2AH|STMN1|VPS11|ATP5D|ZNF593|P2RX1|TNFRSF4|ADM|OSTF1|ZMIZ2|WDR45L|PCDHGA12	6|72|103|120|120|160|228|259|316|316|319|321|369|376|382|388|392|432|436|438	6.33|-5.5|5.36|5.29|-5.29|5.13|-4.9|4.8|4.68|4.68|4.67|4.66|-4.55|4.53|4.52|4.51|-4.5|-4.43|4.42|-4.41
ZNF202	221	0.0025	0.303	0.9747	SLC25A16|KCNAB2|ARL4A|UBE2E1|ATP6V0C|NADK|KLF5|RPS19|HADHA|MAT2A|LPHN3|PADI2|POLD3|EEF2|ITGB3|NCLN|GALNS|OSMR|EIF2B5|RPL6	36|52|70|87|100|120|142|148|152|219|259|261|269|307|348|415|442|472|494|534	5.72|5.59|5.51|5.42|-5.38|-5.29|5.21|5.16|5.15|4.92|-4.8|-4.79|4.77|-4.7|-4.61|4.46|4.39|4.33|4.29|4.21
ZNF516	195	0.0023	0.304	0.9747	TSN|CAMTA1|KLF5|RBM39|BTAF1|ABCB9|WNK1|RHOQ|BMP3|FHL2|MET|S100A1|EIF1AX|CHRND|DOK2|IFI44L|HNRNPD|KRT76|LRP8|ECD	61|80|142|142|160|199|219|293|338|348|432|442|450|456|503|586|604|692|721|727	5.55|5.46|5.21|5.21|5.13|5|4.92|-4.72|4.63|-4.61|4.43|4.39|-4.37|4.36|-4.27|4.13|-4.1|-3.96|3.92|-3.91
HOXC4	168	0.0026	0.305	0.9747	TRIM25|PIK3C3|CEP110|WISP2|AAMP|ABHD5|RBM39|PHF21A|SETD3|ARID4A|PLA2G4C|CCDC6|GYS2|HP|CDH18|C11orf51|SNX13|ADSS|ENO2|DAP3	8|39|46|87|91|139|142|156|179|209|212|297|307|352|369|415|432|499|503|509	6.26|5.71|-5.67|5.42|5.41|5.22|5.21|-5.14|5.06|4.96|4.94|4.71|4.7|4.59|-4.55|4.46|-4.43|4.28|-4.27|-4.26
ZC3H14	279	0.0021	0.307	0.9747	ZC3H4|NSMAF|HIST1H2AE|NCKAP1L|RBM39|BTAF1|RAP2A|RECQL|KLC1|STXBP3|SLC26A2|EXTL3|GATA4|C11orf49|HP|ACOX1|CDKN1B|SKIV2L2|EIF1AY|KDELR2	4|52|80|82|142|160|164|202|205|244|327|344|344|351|352|373|407|426|432|432	6.37|5.59|5.46|-5.45|5.21|5.13|5.11|4.99|4.98|-4.85|-4.65|-4.62|4.62|4.6|4.59|4.54|-4.47|4.44|4.43|-4.43
ZKSCAN1	157	0.0027	0.309	0.9747	ZC3H4|CA11|LRRC32|RPS17|C9|CUL7|TTI1|PSMD6|GDPD5|TAF1|TARBP1|ZNF652|ERC1|EEF1A1|ITGB1BP1|CLDN7|TACR2|PTMA|IL10|UBE2V2	4|164|164|176|280|415|450|494|606|655|673|736|756|804|856|863|974|1056|1098|1106	6.37|5.11|5.11|5.07|4.75|-4.46|-4.37|4.29|-4.09|4.01|-3.99|-3.9|3.88|-3.8|-3.71|-3.7|3.58|-3.47|3.41|3.4
ZNF184	204	0.0023	0.311	0.9747	ABCF1|SERPINA1|ARL4A|TRIM29|LILRB2|RPS17|GRAP2|PLIN2|EPRS|PLAT|PWP1|USP46|MST1|ACVRL1|BEX4|TIMELESS|FUBP3|PAIP1|DNAJB1|GTF2H1	56|63|70|169|176|176|207|222|284|333|358|358|388|472|518|524|631|647|655|660	5.57|5.54|5.51|5.09|-5.07|5.07|4.97|4.91|4.74|4.64|4.58|-4.58|4.51|4.33|-4.24|-4.23|-4.05|-4.02|-4.01|-4
TFAP4	414	0.0021	0.312	0.9747	RABEPK|POP5|CSNK1D|PRKAR1B|MTHFD2|SLC2A3|PTPRCAP|TPP1|TNFRSF8|RRP12|TTLL12|GCNT2|DRG1|KIAA0040|SCCPDH|SAT1|SNRNP40|RNF115|WDR46|TNKS	1|2|20|66|75|91|96|101|103|110|117|126|152|168|179|190|199|209|216|228	6.47|6.45|5.94|-5.52|-5.49|5.41|5.39|5.37|5.36|5.33|5.3|5.28|5.15|-5.1|5.06|5.02|5|4.96|-4.93|4.9
ZFX	207	0.0024	0.314	0.9747	RABEPK|KIAA0141|NSMAF|RIN2|SETD3|SNRNP40|ZNF318|USP46|ZNF593|ZNF254|PCDHGA12|MYOM1|ATP6V0A2|ITGB5|PUM1|DUSP6|LYPD3|TRAPPC2|KIAA0494|ECD	1|40|52|72|179|199|312|358|369|426|438|445|518|518|606|618|631|692|695|727	6.47|5.69|5.59|-5.5|5.06|5|4.69|-4.58|-4.55|4.44|-4.41|4.38|-4.24|-4.24|4.09|-4.07|-4.05|3.96|3.95|-3.91
TCF25	494	0.0023	0.316	0.9747	ZC3H4|TRIM25|TXNL4A|MTHFS|TIAM1|CEP110|GOLGB1|B4GALT6|NADK|CLK1|RANBP6|RPS17|DYNLT3|PIGH|TNKS|USPL1|DSCR3|SERPINA5|BAIAP3|ABLIM1	4|8|12|32|33|46|100|120|120|135|137|176|194|228|228|236|238|275|289|338	6.37|6.26|6.1|5.75|5.74|-5.67|-5.38|5.29|-5.29|5.24|5.23|5.07|5.01|-4.9|4.9|4.87|4.86|4.76|4.73|4.63
PRDM1	275	0.0022	0.316	0.9747	TRIM25|QPCT|BTN1A1|CYP24A1|LOC100129361|VPS41|UBE2L3|GTF2I|SERPINB6|M6PR|ARID4A|PIGH|ID2|AUH|NR4A2|PTPRG|PEA15|ZNF273|STK16|WDR45L	8|29|43|57|77|96|106|172|194|202|209|228|344|362|364|388|392|397|418|436	6.26|5.78|5.68|-5.56|5.48|5.39|-5.34|-5.08|5.01|-4.99|4.96|-4.9|4.62|-4.57|4.56|-4.51|4.5|-4.49|4.45|4.42
